根據 K2view 的定義，何謂「AI 資料隱私」？	為保護 AI 應用程式、框架和模型所收集、存儲和處理的敏感資料而採取的安全措施。
生成式 AI（GenAI）為金融機構分析海量資料時帶來的主要優勢為何？	能自動化複雜任務並透過個人化與效率提升客戶體驗。
金融服務提供商在處理 AI 資料時，必須遵守哪些主要的資料隱私法律？	包括 CPRA、GDPR 和 HIPAA 等法律。
在金融業的 AI 資料隱私風險中，「繞過標準安全協議」的威脅稱為什麼？	越獄（Jailbreaking）或提示注入（Prompt Injection）。
金融機構若發生 AI 模型漏洞，可能會導致什麼敏感資訊外洩？	模型內部的敏感訓練資料。
在 AI 資料隱私策略中，「資料加密」的主要用途為何？	掩蓋靜態或傳輸中的敏感資料。
「存取控制」在 AI 資料隱私策略中扮演什麼角色？	確保只有獲得授權的使用者才能查看或修改個人識別資訊（PII）。
在訓練和生產資料集中隱藏個人識別碼的技術稱為什麼？	資料遮罩（Data Masking）。
「對抗性策略」（Adversarial strategizing）的目的是什麼？	保護 AI 模型免受惡意攻擊。
「資料最小化」（Data minimization）原則的核心為何？	僅存儲真正需要的資料。
檢索增強生成（RAG）框架如何提升 LLM 的回應品質？	透過將受信任的企業資料注入 LLM，實現更精確且具上下文關聯的回應。
RAG 聊天機器人在金融客戶服務中的主要效益為何？	減少通話時間並增加客戶滿意度。
主動式檢索增強生成在金融業「欺詐檢測」方面的運作方式為何？	即時分析交易模式並標記可能代表欺詐行為的異常活動。
為什麼傳統的中央資料湖不適合用於存放生成式 AI 資料？	因為它包含易洩漏的敏感資訊，且清理與查詢成本高昂。
微型資料庫（Micro-Database）技術如何處理個別實體的資料？	為每位客戶、員工或產品創建微型資料湖，並與源系統持續同步。
微型資料庫如何確保 AI 資料的品質與隱私？	自動執行資料隱私規則並應用 AI 資料品質標準。
金管會於 2024 年發布的哪份文件顯示了對 AI 應用資料治理的重視？	《金融業運用人工智慧（AI）指引》。
目前金融機構將資料「去識別化」以符合個資法要求面臨的主要痛點為何？	目前缺乏明確且客觀的去識別化程度標準。
即使採用聯合學習（Federated Learning）產生參數，仍存在什麼樣的法規隱憂？	仍被認為可能存在資料再識別風險的疑慮。
關於 AI 模型訓練產出的「衍生資料」，目前的爭議點為何？	其權利歸屬難以界定，消費者是否能要求剔除其相關資料尚無定論。
在金融 AI 應用中，「遷移學習」（Transfer Learning）技術引發了什麼爭議？	資料利用目的範圍的爭議，例如將公益目的訓練的模型轉用於商業行銷。
金融機構面對 AI 監理法規落後技術發展時應採取什麼思維？	應轉變為積極主動的風險管理，建立內部管理機制。 
AI 系統在處理大量敏感資料時，必須確保符合哪兩大核心要素？	隱私保護與監理合規。
歐盟的 GDPR 要求企業在處理個人資料時必須遵守哪些原則？	透明性、資料最小化及維護資料主體權利。
PCI DSS 標準主要關注金融業的哪類資料安全？	支付卡資料安全環境。
巴塞爾協議 III（Basel III）在資料治理方面強調了什麼需求？	有效的風險資料聚合與風險管理實踐。
AI 合規性中「黑箱」性質（Black box）指的是什麼挑戰？	決策過程難以理解與解釋，可能導致公眾不信任。
「演算法問責制」（Algorithmic accountability）包含哪些具體流程？	評估並減輕 AI 系統中可能產生的潛在偏誤。
為什麼 AI 系統需要建立「問責機制」來處理錯誤決策？	因為當 AI 造成損害時，確定責任歸屬（設計者或使用者）過程極為複雜。
歐盟提出的《人工智慧法案》（Artificial Intelligence Act）如何分類 AI 系統？	根據 AI 對基本權利的潛在影響和風險進行分級管理。
造成演算法偏誤（Algorithmic bias）的主要原因是什麼？	訓練資料集中包含固有的社會偏見，並在自動化決策中被放大。
減輕演算法偏誤的關鍵策略之一為何？	實現訓練資料的多樣化並定期進行公平性審計。
AI 廣泛採用對金融業低技能職位可能造成的社會衝擊為何？	可能導致工作職位的消失。 
差異隱私（Differential Privacy）的主要數學目的是什麼？	平衡量化的披露風險與資料分析的有用性（Utility）。
在差異隱私中，鄰近資料集（Neighboring Datasets）的定義為何？	兩者之間僅存在一個隱私單位（Privacy Unit）差異的資料集對。
差異隱私（DP）中的參數 $\epsilon$ 代表什麼意義？	它代表隱私損失預算（Privacy-loss budget），控制相鄰資料集輸出分佈的區分程度。
差異隱私的「後處理」（Post-processing）性質保證了什麼？	一旦結果受到 DP 保護，任何進一步處理都不能降低其隱私保證。
「成員攻擊」（Membership attack）的具體目標為何？	確定特定個人的資料是否被包含在某個資料集中。
在差異隱私的假設檢定框架中，第一型錯誤（Type I error）代表什麼？	攻擊者錯誤地推斷某人屬於資料集成員（偽陽性）。
在差異隱私的假設檢定框架中，第二型錯誤（Type II error）代表什麼？	攻擊者未能檢測到資料集中確實存在的成員（偽陰性）。
ROC 曲線在差異隱私評估中是用來顯示什麼關係？	測試功效（$1 - \beta$）與偽陽性率（$\alpha$）之間的權衡。
拉普拉斯機制（Laplace mechanism）如何實現差異隱私？	透過在查詢結果中添加符合拉普拉斯分佈的隨機雜訊。
高斯機制（Gaussian mechanism）與拉普拉斯機制在隱私保證上的主要區別為何？	高斯機制不滿足純粹的 $\epsilon$-差異隱私，而是滿足近似差異隱私或 $f$-DP。
在貝氏統計中，「先驗機率」（Prior probability）的意義為何？	在進行統計檢定之前，假設目標屬於資料集的機率。
何謂「冒然披露」（Blatant disclosure）？	攻擊者的後驗機率達到 $1$，即以 $100\%$ 確定性識別出個體。
「災難性失敗」（Catastrophic failure）在隨機機制中如何定義？	指該機制允許通過成員攻擊以確定性揭露敏感屬性。
均勻隨機抽樣機制（Uniform Random Sampling）為什麼容易發生災難性失敗？	因為它有正機率直接洩漏資料集中的原始記錄。
「優雅失敗」（Graceful failure）的隨機機制具有什麼特點？	攻擊者的後驗信心可以接近但永遠無法達到 $1$，始終保持殘餘不確定性。
「相對披露風險」（Relative disclosure risk）測量的核心指標為何？	衡量因發布查詢結果而導致目標成員身分機率增加的倍數。
根據定理 2，隨機機制擁有「有限相對披露風險」的條件為何？	當 $\alpha \to 0$ 時，比率 $\frac{1 - f_\mu(\alpha)}{\alpha}$ 必須收斂至有限值。
純粹 $\epsilon$-差異隱私機制與相對披露風險 $\rho$ 的關係為何？	其相對披露風險滿足 $\rho \le e^\epsilon$。
在資料分析中，差異隱私產生的擾動可以被視為哪種性質的來源？	一種精確指定的「測量誤差」或統計不確定性。
為什麼差異隱私保護機制和參數值的透明公開不會損害隱私？	因為 DP 的數學保證對演算法透明度具有魯棒性（防範未來技術進步）。
在管理隱私與效用權衡時，「隱私優先」（Privacy-first）策略的步驟為何？	先定義最大可接受風險並選定隱私參數，再評估資料產出的效用是否足夠。
在管理隱私與效用權衡時，「效用優先」（Utility-first）策略的步驟為何？	先評估分析所需的最小準確度，再確定相應隱私保護所帶來的最低風險。
針對不信任的資料接收者，專家強烈建議避免使用哪種失敗類型的機制？	災難性失敗機制。
如果數據接收者是受法律約束的信任人員（如公務員），什麼情況下可接受冒然披露？	當資料接收者的範圍受控且發布是為了公共政策目的時。
在實踐中，效用分析應如何避免額外的披露風險？	應在不接觸實際數據的情況下，模擬實驗性研究來進行。
「合成資料生成」在效用分析中扮演什麼角色？	讓接收者在不接觸原件的情況下，測試不同隱私參數對分析結果的影響。
差異隱私中的「組合成」（Composition）屬性有何作用？	允許跨多個演算法自動累計並計算總隱私損失。
為何「資料最小化」在 AI 模型開發中尤為重要？	減少攻擊面並降低違反 GDPR 等法規的法律風險。
RAG 技術如何解決金融 AI 應用中的「幻覺」問題？	透過將 LLM 錨定（Grounding）在受信任的企業數據上，提高回應準確性。
「推論風險」（Inference risk）與一般的披露風險有何區別？	它指即使個人資料未直接參與資料集，敏感資訊仍可能被推斷出的風險。
為什麼絕對匿名化（Absolute anonymization）在現代數據環境下被視為「破碎的承諾」？	因為重構與連結攻擊已證明傳統去識別化技術（如聚合、k-匿名）存在漏洞。
在 $f$-差異隱私中，權衡函數 $f_\mu$ 的作用為何？	它定義了攻擊者在區分兩個鄰近資料集時所面臨的最小錯誤界限。
