AI 客服設計中，當客戶說「我要找真人」時，屬於哪一種觸發類型？	明確要求觸發（Explicit-request）。
在 AI 轉真人交接中，Rule-based 觸發方式主要的失敗模式為何？	當客戶使用拐彎抹角的方式抱怨時無法偵測。
根據 Five9 的統計，單純使用情緒分數（Sentiment-based）觸發的 CSAT 比單用 Rule-based 高出多少？	$22\% $。
AI 客服系統中的「安全網」觸發機制，通常設定在 AI 連續幾次答不出問題時執行？	2 次。
在台灣，哪一個法規要求業者必須提供具體可聯繫之人工管道以處理消費爭議？	行政院消費者保護處之相關函示。
AI 轉真人時，提供「對話摘要」的主要目的是為了解決什麼問題？	避免真人客服花費過多時間閱讀逐字稿，導致客戶在線空等。
在交接 Context 的 6 個欄位中，「CRM 客戶連結」的主要效益為何？	減少真人手動搜尋客戶資料的時間，平均節省 60 至 90 秒。
在 AI 升級邊界表中，涉及醫療諮詢或法律條款釋疑的問題屬於哪一類處理原則？	必須升級至真人（MUST escalate）。
設計 AI 客服升級門檻時，通常建議參考客戶投訴司法中位金額的多少比例？	$0.3$ 至 $0.5$ 倍。
在 30 人規模的客服團隊中，建議安排多少真人在線以應付 $5\% $ 的 AI 升級率？	1.5 個全職人力（FTE）。
當真人客服下班且 AI 偵測到需升級時，最核心的設計原則是什麼？	絕對不能無聲掉線，必須告知後續聯繫路徑。
Human-in-the-Loop (HITL) 的核心設計邏輯是將人類定義為什麼角色？	定義為系統的方向盤（決策者與煞車）。
在 HITL 機制中，AI 執行任務遇到信心不足主動暫停請求協助，稱為 _____。	介入（Intervention）。
人類不在執行迴圈內，而是設定巨觀參數與紅線供 AI 執行，稱為 _____。	Human on the Loop。
Google ADK 中，由 LLM 自行判斷是否需要人類協助的工具為何？	escalateToHuman 工具。
在 Google ADK 中，適合高風險操作、由程式邏輯強制暫停的節點為何？	RequestInput 節點。
HITL 系統中，若 AI 判斷信心機率低於安全閥值（如 $85\% $），系統會觸發什麼？	升級協議（Escalation Protocol）。
對於金融交易、醫療決策等高風險場景，建議使用哪一種升級機制以避免 AI 過度自信？	RequestInput 節點（強制升級）。
HITL UI 設計中，「操作者」儀表板應聚焦於什麼樣的資訊？	微觀任務的上下文摘要、AI 建議及快速核准按鈕。
為避免「警示疲勞」，對於低緊急度的升級請求應採用何種處理方式？	批次處理（Batch Processing）。
在 AI 決策旁顯示內部信心分數，其目的是解決哪一個問題？	增加升級機制的透明度，讓人類可主動介入邊界案例。
HITL 系統中的「規模化悖論」是指什麼現象？	AI 執行速度極快，但背後的人類審查量能無法同步擴張。
