儀表板（Dashboard）的核心定義是什麼？	在統一介面中呈現多個來源的關鍵指標，以支援監控、分析與決策。
儀表板的主要功能之一是識別數據中的_____與異常。	趨勢
儀表板設計的第一步應該是什麼？	瞭解使用者的資訊需求與使用情境。
專為高階主管設計，展示企業層級 KPI 的是哪種儀表板？	策略型儀表板（Strategic Dashboard）。
策略型儀表板通常建議的數據更新頻率為何？	每日或每週。
分析型儀表板的主要使用者群體是誰？	業務分析師與部門經理。
哪種儀表板類型必須支援向下鑽取（Drill-through）、篩選與比較功能？	分析型儀表板（Analytical Dashboard）。
操作型儀表板（Operational Dashboard）的主要目標是什麼？	監控日常操作並提供即時數據與警報。
儀表板設計中的「5 秒鐘規則」是指什麼？	使用者應能在 5 秒內識別最重要的資訊。
在單一儀表板畫面上，建議將核心指標限制在幾個以內？	3 到 5 個。
篩選指標的三個標準包括策略相關性、清晰度與_____。	可操作性
建立清晰敘事流程時，應遵循哪種視覺流向習慣？	從左到右，從上到下（如 F-pattern 或 Z-pattern）。
在敘事流程中，加入時間比較或目標線是為了提供數據的_____。	上下文（Context）
用於顯示項目之間差異或排名的圖表類別稱為_____圖表。	比較（Comparison）
適合用於比較不同類別數值並進行排名的基本圖表是？	長條圖（Bar Chart）。
雷達圖（Radar Chart）最適合的使用時機為何？	比較多個維度的表現（如產品功能比較）。
強調部分與整體關係的圖表類別稱為_____圖表。	組成（Composition）
圓餅圖（Pie Chart）建議顯示的類別數量上限是多少？	少於 6 個。
瀑布圖（Waterfall Chart）主要用於說明什麼？	連續數值變化的累積效應。
用於顯示數據分佈特徵、集中趨勢或異常值的圖表類別是？	分佈（Distribution）圖表。
盒鬚圖（Box Plot）可以顯示哪些關鍵統計值？	中位數、四分位數與異常值。
關注變數之間關聯、趨勢與因果關係的圖表類別是？	關係（Relationship）圖表。
顯示隨時間變化趨勢的首選圖表類型是？	折線圖（Line Chart）。
熱力圖（Heat Map）在數據可視化中的主要作用是什麼？	顯示數據的密度或相關性。
在 UI 設計中，建立一致的色彩方案（如紅色代表警報）被稱為_____色彩方案。	語義（Semantic）
使用網格系統（Grid System）設計儀表板的主要目的是什麼？	保持元素對齊與佈局平衡。
為何留白（White Space）在儀表板設計中很重要？	可分隔資訊群組並減少使用者的認知負荷。
推出儀表板後的持續優化流程，應包含定期收集使用者回饋與_____。	分析使用數據（如點擊熱點）。
希克定律（Hick's Law）的數學表達式為何？	$RT = a + b \log_2(n)$
希克定律指出，當選擇的數量增加時，決策時間會如何變化？	決策時間會呈對數增加。
為了應用希克定律縮短決策時間，設計者應減少_____負擔。	篩選器（Filter）
數據可視化大師 Edward Tufte 提出的「Chartjunk」是指什麼？	無法傳達新資訊的冗餘裝飾或非數據墨水。
在 Power BI 中，若要處理大型數據集，建議的 RAM 容量是多少？	16GB 或更高。
Power BI Desktop 對於作業系統的要求為何？	Windows 10 或更高版本。
若要在線上發布 Power BI 報告，使用者需要哪種授權？	Pro 或 Premium Per User 授權。
在顏色設計中，對比（Contrast）的主要作用是什麼？	吸引注意力並突顯關鍵資訊。
類比色（Analogous colors）在儀表板設計中的作用為何？	創造視覺統一感與和諧感。
為什麼專家建議避免過度使用圓餅圖？	人類感官難以精確比較角度與面積的大小差異。
若要比較多個類別的精確數值，應使用什麼圖表替代圓餅圖？	長條圖或柱狀圖。
應在什麼情況下使用相同的顏色？	當數據之間沒有意義上的差異時。
在儀表板佈局中，最重要的指標應放置在畫面的哪個位置？	頂部。
有效的風險溝通必須具備哪些特點以支援高管決策？	清晰、簡潔、且具有可操作的見解。
ERM 領導者在與董事會溝通風險時，應將風險與什麼相連結？	策略目標（Strategic Objectives）。
向董事會報告時，每場討論應聚焦於幾個主要話題？	一個核心話題。
高管與董事會最關心的核心溝通問題是什麼？	「為什麼這件事現在很重要？」
在信用風險儀表板中，通常放置在頂部的關鍵指標有哪些？	總應收帳款餘額（Total AR）與應收帳款週轉天數（DSO）。
Power BI 中的「鑽取」（Drill-through）功能有何優點？	讓使用者在不增加畫面混亂的前提下查看詳細細節。
儀表板設計需求調查問卷（Stephen Few 提供）旨在確定資訊的邏輯分組與_____。	有意義的比較基準
在數據分組中，什麼是「例外狀況」（Exception）？	超出預設閾值或代表統計離群值的數值。
使用單一色相（Single Hue）的不同亮度來區分數據，適合表達什麼？	時間序列或具有遞進關係的區域。
什麼是「負空間」（Negative Space）？	設計元素之間未標記的區域，即留白。
留白除了提升易讀性，還能建立視覺上的_____，引導使用者注意關鍵資訊。	層級（Hierarchy）
