數位銀行普及的三個核心因素為何？	便利性、交易速度以及易用性。
數位轉型除了便利性外，也增加了網路釣魚、身分盜用及_____等風險。	帳戶接管（Account takeovers）
傳統銀行欺詐預防方法的主要缺陷在於過度依賴基於規則的系統與_____。	交易後分析（Post-transaction analysis）
現有欺詐檢測系統在處理高交易量時，往往面臨決策速度慢及_____過高的問題。	偽陽性率（False positive rates）
「數據分析連續體理論」描述了從描述性分析、預測性分析到_____的演進。	指示性分析（Prescriptive analytics）
在欺詐檢測中，預測性分析的主要功能為何？	利用歷史與即時數據預測潛在的欺詐風險。
指示性分析在風險管理中的關鍵價值為何？	提供減輕風險的具體建議行動或自動化響應。
技術採用理論認為，組織採用創新技術的主要動機是該技術能提供_____。	可衡量的營運效益（如安全性、效率）
Panchal (2025) 提出的框架中，異常交易識別後會產生什麼數值？	欺詐風險評分（Fraud risk scores）
指示性分析組件可能會針對高風險交易建議哪些具體行動？	額外身份驗證、臨時凍結帳戶或發出調查警報。
實施實時欺詐檢測框架對銀行的商業價值之一是減少_____成本。	手動調查（Manual investigations）
在 AI 驅動的銀行系統中，必須考慮的倫理問題包括數據隱私與_____。	演算法偏見（Algorithmic bias）
實施實時分析系統的主要技術挑戰包括高昂的初期成本及與_____的相容性。	遺留系統（Legacy systems）
數據管道中若存在不完整或不準確的交易紀錄，會導致_____問題並損害模型精度。	數據質量（Data Quality）
傳統欺詐檢測與指示性分析框架相比，前者在速度和_____方面表現較差。	自動化程度（Automation）
Baton Systems 指出，銀行管理已清算衍生品擔保品時面臨的挑戰包括_____數據源的分析困難。	異構數據源（Disparate data sources）
在擔保品管理中，確定資產是否符合特定中央結算對手方（CCP）的要求稱為_____管理。	資格標準管理（Eligibility criteria management）
Baton 的 Core-Collateral 解決方案透過_____主要 CCP 的數據來實現決策優化。	實時聚合（Real-time aggregation）
自動化擔保品管理流程可以讓團隊將精力從例行公事轉向_____。	戰略性倡議（Strategic initiatives）
擔保品管理軟體透過提供透明的追蹤與報告功能來支持銀行的_____工作。	監管合規（Regulatory compliance）
銀行信用風險管理正經歷從主觀判斷到_____的轉型。	客觀分析（Objective analysis）
風險度量方法正從定性評估轉向_____，例如使用 CreditMetrics 模型。	定量測量（Quantitative measurement）
傳統風險管理中，由於獲取資訊的週期長，導致管理模式偏向_____管理。	靜態管理（Static management）
數位化轉型使銀行能夠強化對借款人信用風險的_____監測。	動態監控（Dynamic monitoring）
在中國的金融體系中，預計長期內_____仍將是緩釋信用風險的主要起點。	抵押品（Collateral）
隨著經濟轉型，銀行抵押品正從房地產等實體資產擴展到_____資產。	權益類無形資產（Equity intangible assets）
借款人的信用價值和_____現在可被視為新型的無形抵押資產。	數據資產（Data assets）
數位技術能縮短根據財務會計數據估計資產價值的_____性。	延遲性（Delay）
利用_____技術可以加強對信貸資金流向的監控，防止貸款被挪用。	知識圖譜（Knowledge graphs）
金融科技（Fintech）是基於大數據、雲端運算、人工智慧及_____的業務模式。	區塊鏈（Blockchain）
銀行數據治理的四個面向包括標準化、安全控制、質量控制及_____。	監管報送（Regulatory submission）
決策樹技術在銀行風險管理中的一個顯著優點是其學習過程不需要使用者具備深厚的_____。	背景知識（Background knowledge）
決策樹模型的_____使得銀行經理能清楚理解風險評估背後的邏輯。	透明度與可解釋性（Transparency and interpretability）
GUO 等人 (2024) 的研究中，使用的是哪種具體的決策樹演算法？	C5.0 演算法
在 C5.0 貸款風險模型中，最重要的兩個特徵是支票帳戶餘額與_____。	儲蓄帳戶餘額（Savings balance）
研究顯示，若借款人的支票帳戶餘額大於 $200$ DM 或未知，通常被分類為_____。	不太可能違約（Unlikely to default）
在決策樹中，儲蓄帳戶餘額小於 $100$ DM 且信用記錄優良的借款人可能被視為_____。	極有可能違約（Very likely to default）
GUO 等人構建的 C5.0 決策樹模型最終的分類錯誤率是多少？	$14.9\%$
所謂的「第一類錯誤（偽陽性）」是指將未違約的貸款錯誤分類為_____。	已違約（Defaulted）
所謂的「第二類錯誤（偽陰性）」是指將實際已違約的貸款錯誤分類為_____。	未違約（Not defaulted）
McKinsey 估計，AI 技術每年可為全球銀行業帶來高達多少美元的額外價值？	$1$ 兆美元
全球約有_____的銀行賺取的股權回報率（ROE）無法覆蓋其股權成本。	四分之三（$75\%$）
「AI 首位」（AI-first）銀行的核心能力堆棧包含哪四個層級？	客戶參與層、AI 驅動決策層、核心技術與數據層、平台營運模式層。
AI 銀行參與層的目標是提供智慧化、個人化及_____的客戶體驗。	全通路（Omnichannel）
未來 AI 銀行的技術架構需要具備_____、韌性及適應性。	可擴展性（Scalability）
AI 銀行的決策層利用機器學習模型將實時洞察轉化為精確的_____。	客戶溝通訊息（Messages）
為了實現持續的數據交換，銀行技術層需要採用 API 與_____架構。	流式處理架構（Streaming architecture）
AI 銀行的營運模式需要打破職能孤島，建立跨職能的_____。	敏捷團隊（Agile teams）
數位生態系統的發展正導致傳統金融服務面臨_____的風險。	去中介化（Disintermediating）
McKinsey 指出，銀行轉型為 AI 首位的障礙之一是數據資產的_____。	碎片化（Fragmented）
在指示性分析系統中，「自學習」能力主要透過人工智慧與_____實現。	機器學習（Machine Learning）
傳統的抵押品管理流程缺乏透明度且缺乏_____追蹤，導致操作風險增加。	實時追蹤（Real-time tracking）
Core-Collateral 系統的一大特色是能自動化分析複雜的_____準則。	資產資格（Asset eligibility）
信用風險預警模型的主要目的是優化資源配置並降低_____。	壞帳率（Bad debt rates）
C5.0 決策樹模型在實驗中由多少個決策節點組成？	$45$ 個
實驗數據顯示，貸款期限通常集中在 $12$ 到 $24$ 個月，最長可達_____個月。	$72$ 個月
研究樣本中，實際發生違約的比例（違約率）是多少？	$30\%$
McKinsey 提出的 AI 銀行轉型藍圖中，第一個建議的步驟為何？	制定組織在 AI 時代的戰略目標。
銀行應將資本資源投入開發能使其與競爭對手區隔開來的_____能力。	差異化（Differentiating）
「超級應用程式」（Super apps）透過在客戶旅程中_____金融服務來競爭。	嵌入（Embedding）
所謂的「微笑支付」是利用哪種技術來啟動交易？	面部掃描（Facial scanning）
指示性分析能協助解決預測性分析僅能告知「可能發生什麼」而無法告知「_____」的問題。	該做什麼（What to do）
數位轉型能緩解信用雙方之間的_____，從而提升借款人的信用。	資訊不對稱（Information asymmetry）
銀行業務產品呈現出線上化、場景化、智慧化及_____四個趨勢。	個性化（Personalized）
在 C5.0 模型中，若支票帳戶餘額小於 $0$ DM 或在 $0-200$ DM 之間，系統會如何處理？	需要進一步分類以確定違約可能性。
數據分析團隊中的「翻譯者」（Translator）角色其職責為何？	連接業務與技術利益相關者。
指示性分析框架的長期效益包括增強客戶對電子金融服務的_____。	信任與信心（Confidence and trust）
未來研究方向之一是將區塊鏈與_____結合，以增加交易透明度。	指示性分析環境（Prescriptive analytics environment）
C5.0 模型測試中，總計 $900$ 個訓練案例中有多少例被正確分類？	$766$ 例
預測性分析在數位銀行中的優勢是能在發生_____之前識別可疑模式。	財務損失（Financial losses）
銀行應如何處理非差異化（Nondifferentiating）的能力？	考慮利用合作夥伴關係（Partnerships）。
「全通路體驗」意味著客戶在物理環境與_____之間能獲得一致的服務。	線上環境（Online contexts）
AI 銀行架構中的核心數據基礎設施應支持_____，以實現實時數據處理。	自動化雲端供應（Automated cloud provisioning）
在決策樹中，從根節點到葉節點的路徑對應於一條合理的_____。	分類規則（Classification rule）
數位化如何幫助改善銀行的貸後管理？	透過實時監控信貸資金流向與貸款實際用途。
指示性分析系統能透過_____不斷優化其檢測欺詐的準確性。	持續學習（Ongoing optimization/learning）
對於零售客戶，AI 銀行可以根據_____推薦附近的咖啡店。	消費模式（Spending patterns）
對於中小企業客戶，AI 銀行可以整合其_____以優化庫存管理。	業務管理系統（Business management systems）
在信用評估中，公務員貸款雖無實體抵押，但可視為以其_____作為抵押。	信用價值（Credit value，如名譽及未來收入）
預測性分析使用的機器學習技術包括決策樹、支持向量機及_____。	神經網路（Neural networks）
未來銀行的「智慧服務」應包含能無縫嵌入_____的功能。	合作夥伴生態系統（Partner ecosystems）
銀行建立數據平台是為了連接前、中、後台的_____。	業務部門（Business departments）
