在即時支付系統中，傳統規則引擎（Rule engines）的主要局限性是什麼？	過於僵化，無法隨著詐欺手段的演變而調整。
根據 2026 年行業延遲基準，精心設計的 AI 代理編排層通常能在多少時間內返回綜合風險決策？	20 至 80 毫秒（20-80ms）。
AI 代理架構中的「編排與協調層」（Orchestration and Coordination Layer）的主要功能是什麼？	將多個代理的見解轉化為單一且可辯護的決策，並解決信號衝突。
在金融 AI 代理架構中，「延遲紀律」（Latency discipline）原則要求決策必須在多少時間內完成？	通常在 100 毫秒以內。
AI 代理架構與傳統單體機器學習模型的關鍵區別在於：AI 代理能在受控框架內進行推理、協作與 _____。	行動（Act）
在詐欺偵測中，「裝置指紋識別」（Device fingerprinting）代理通常關注哪一方面的風險信號？	裝置的硬體特徵與身份識別。
在處理不可逆的即時支付（如 FedNow）時，為何傳統的「批次評分」模型不再適用？	因為交易在模型看到數據之前就已經完成結算。
哪一個架構層級負責確保 AI 代理的所有行動都是可解釋、可追蹤且可審計的？	治理設計層（Governance by design）。
當 AI 系統遇到高度模糊的交易情況時，應將其升級至哪一個環節進行處理？	人機協作（Human-in-the-Loop）環節。
在 AI 代理架構中，「執行與動作層」（Action Layer）會根據什麼來決定執行核准、拒絕或二階段驗證？	系統的信心水準與上下文背景。
哪一項美國金融監管準則提供了對於 AI/ML 在即時支付風險管理中可解釋性的證據要求？	FFIEC 指導方針。
在零售銀行的信用風險評估中，12 個月的「時點違約機率」縮寫為何？	PiT PD (Point-in-Time Probability of Default)。
根據 IFRS 9 法規，銀行需要對貸款損失進行哪種性質的建模？	預期信用損失（ECL, Expected Credit Loss）。
在 VECTOR Labs 的案例中，哪種技術被用於將相似客戶分組成統計上具有意義的風險池？	層次聚類（Hierarchical clustering）。
在長期違約動態建模中，通常使用哪種數學過程來開發終身 PD 曲線？	馬可夫轉移矩陣（Markov transition matrices）。
傳統信用評分模型過於依賴靜態指標（如信用歷史），其主要缺點是無法捕捉什麼？	借款人風險的動態變化。
在信用風險預測中，LASSO 邏輯迴歸模型的主要作用是什麼？	進行懲罰性迴歸以選擇特徵並預測 12 個月的違約機率。
根據 IBM 的 2025 年展望，有多少比例的銀行高管認為數據洞察是其最重要的競爭差異化因素？	$85\%$
PenFed 的 PANGEN 項目中，系統在促銷活動高峰期仍能保持多少比例的運行時間（Uptime）？	$99.97\%$
在 PenFed 的案例中，整合工作流解決方案使手動處理需求平均減少了多少比例？	$37.5\%$
行為生物辨識技術（Behavioral biometrics）主要分析哪些潛意識行為來創建用戶個人資料？	按鍵動態、滑鼠移動和觸控互動。
集成學習（Ensemble learning）技術結合了多種算法，例如隨機森林與 _____ 以減少詐欺偵測的誤報。	梯度提升機（Gradient boosting machines）。
研究顯示，實施風險驗證框架（Risk-based authentication）可使二階段驗證需求減少多少？	$58\%$
國際金融公司（IFC）的 iPortal 應用採用了哪種架構設計，以實現模組化功能部署？	微服務架構（Microservices-based design）。
IFC 系統中的文檔處理功能利用了哪種技術來從非結構化文檔中提取語義？	自然語言理解（NLU）。
與傳統邏輯迴歸相比，機器學習信用評分模型在 Gini 系數上平均提升了多少？	$41\%$
根據 PwC 研究，雲端原生（Cloud-native）實施比傳統地端方案的部署速度快多少？	$61\%$
邊緣計算（Edge computing）在交易監控中的主要優勢是什麼？	顯著降低延遲，實現即時風險評估。
