在風控場景中，為了研究單一變量對系統輸出的影響而保持其他變量不變的方法稱為什麼？	控制變量法。
風控部門常用於替代「A/B 測試」這一通用稱呼的術語是什麼？	冠軍挑戰者 (Champion/Challenger)。
在 A/B 測試中，保持原狀、不改變輸入變量的樣本組稱為什麼？	對照組 (Control Group)。
A/B 測試的核心機制是 _____，目的是確保實驗組與對照組在已知與未知因素上分佈一致。	隨機化 (Randomization)
在假設檢定中，預設「新舊版本沒有真實差異」的假設稱為什麼？	虛無假設 ($H_0$ / Null Hypothesis)。
p-value 的精確定義是什麼？	在 $H_0$ 為真的前提下，觀測到至少如此極端結果的機率。
當 p-value 小於預設的顯著水準 $\alpha$（通常為 $0.05$）時，在統計上應如何處理 $H_0$？	拒絕虛無假設 ($H_0$)，認定差異具有統計顯著性。
型一錯誤 (Type I Error) 的定義為何？	$H_0$ 為真但錯誤地拒絕 $H_0$（偽陽性）。
型二錯誤 (Type II Error) 的定義為何？	$H_1$ 為真但未能成功拒絕 $H_0$（偽陰性）。
統計效力 (Statistical Power) 的數學表示式為何？	$1 - \beta$（其中 $\beta$ 為型二錯誤率）。
業界通常要求 A/B 測試的統計效力 (Power) 至少達到多少？	$80\%$。
計算 A/B 測試樣本量時，MDE 代表什麼意思？	最小可偵測效果 (Minimum Detectable Effect)。
在實驗過程中不斷查看 p-value 並在達到顯著時立即停止，會導致什麼問題？	提早停止問題 (Peeking Problem)，這會大幅增加型一錯誤率。
同時測試多個變體（如 A/B/C/D）時，若不進行校正會面臨什麼風險？	多重比較問題 (Multiple Comparison Problem)，增加偽陽性機率。
Bonferroni 校正如何處理多重比較問題？	將顯著性閾值 $\alpha$ 除以測試的變體數量。
什麼現象描述了「整體數據顯示 B 更好，但各子組分析卻顯示 A 更好」的統計悖論？	辛普森悖論 (Simpson's Paradox)。
Netflix 與 Spotify 常用於快速迭代推薦系統、將多個模型結果交叉混合的實驗方法稱為什麼？	交叉實驗 (Interleaving)。
Revolut 使用哪種技術透過在關係數據上堆疊數學運算來自動生成特徵？	深度特徵合成 (Deep Feature Synthesis, DFS)。
在特徵選擇中，MIV 代表什麼？	邊際信息價值 (Marginal Information Value)。
特徵選擇指標 IV (Information Value) 若小於 $0.02$，代表該變量的預測能力為何？	預測能力貧乏 (Poor predictive power)。
為了提升變量穩定性並處理非線性關係，通常將連續變量進行 _____ 處理。	粗分箱 (Coarse Binning)
Weight of Evidence (WoE) 的計算公式為何？	$WoE(a) = \ln(\frac{P(X=a|Bad)}{P(X=a|Good)})$。
WoE 轉換的主要優點之一是能將特徵與目標變量的對數勝算 (log-odds) 關係 _____。	線性化 (Linearize)
在風控模型中，區分「違約/非違約」排序能力的評估指標通常使用 _____。	Gini 係數 (Gini Coefficient)
Brier Score 用於衡量什麼？	實際觀測結果與預測概率之間的均方誤差（數值越小越好）。
將排名得分 (Rank-ordering score) 轉換為準確違約概率 (PD) 的過程稱為什麼？	概率校準 (PD Calibration)。
模型監控指標 PSI 代表什麼？	群體穩定性指標 (Population Stability Index)。
在 A/B 測試的技術實現中，使用 _____ 函數處理用戶 ID 可以確保「黏性會話」式的分組。	哈希 (Hash)
「陰影模式」(Shadow Mode) 在風控模型測試中的作用是什麼？	同時執行 Champion 與 Challenger 模型，捕獲兩者結果進行對比而不影響實際決策。
JSD (Jensen-Shannon Divergence) 相對於 KLD 的一個主要優勢是什麼？	具有對稱性且值是有界的（最大值為 $\ln 2$）。
根據研究，當樣本量足夠大時，PSI 指標服從自由度為 $B-1$ 的 _____ 分佈。	卡方分佈 ($\chi^2$ distribution)
對於 JSD 與 KLD 的卡方近似，建議的最小樣本量 $min(n, m)$ 應大於等於多少？	$400$。
在使用卡方檢定監控分佈時，每個分箱 (Bin) 的預期觀察數至少應為多少？	$5$（保守建議為 $10$）。
統計研究指出，在 $H_0$ 下，JSD 約等於幾分之幾倍的 KLD？	四分之一 ($\frac{1}{4}$)。
在信用風險模型中，處理未被授信申請者數據以避免樣本偏差的方法稱為什麼？	拒絕推斷 (Reject Inference)。
哪種概率校準方法特別適合大樣本，且能捕捉非單調關係？	保序回歸 (Isotonic Regression)。
在 A/B 測試中，「新鮮感效應」(Novelty Effect) 指的是什麼？	用戶對改變的初始反應往往比長期反應更誇張，導致短期效果不可持續。
為了防止 AI 推薦算法雖然提升了轉換率但導致退貨率上升，應設定 _____ 指標。	護欄指標 (Guardrail Metrics)
當一個特徵的 WoE 值接近 $0$ 時，代表該類別的預測力為何？	幾乎沒有區分好壞客戶的能力。
MIV 特徵選擇過程通常伴隨哪種閾值以確保特徵間不具備高度多重共線性？	皮爾森相關係數閾值 (Pearson correlation threshold)。
在 Revolut 的模型開發生命週期中，Rank-Ordering 與 PD Calibration 是 _____ 開發的。	分開 (Separately)
什麼指標可以用來決定預測時間窗口 (Prediction Horizon) 是否足夠長？	累計違約率曲線 (Cumulative Bad Rate Curves)。
DFS 特徵生成中，應用聚合函數（如 $min, max$）處理一對多關係的特徵稱為什麼？	關係特徵 (Relational features / rfeat)。
在風控 A/B 測試中，為了防範重大損失，建議先將新策略應用於多大比例的流量？	極小片段（如 $1\% - 5\%$）。
決策引擎 (BRE) 的主要優勢是將 _____ 與應用程序代碼解耦。	業務邏輯 (Business Logic)
在分層分析 (Subgroup Analysis) 中，目的是發現什麼？	被總體效果掩蓋的子群體差異或傷害。
KLD (Kullback-Leibler Divergence) 的一個缺點是它不具備 _____，即 $D(P||Q) \ne D(Q||P)$。	對稱性
若信用評分模型更新後，在不增加壞帳的前提下提高了核准率，這體現了什麼效應？	正向選擇 (Positive Selection)。
Brier Score 的計算公式為何？	$\frac{1}{N} \sum_{i=1}^{N} (y_i - \hat{p}_i)^2$。
在風控場景，若無法確定規則調整方向，A/B 測試可以扮演什麼角色？	導航系統與說理工具。
對於偏態分佈的違約概率 (PD)，構建分箱時應避免使用哪種方式？	等寬分箱 (Equal-width bins)。
JSD 統計檢定在小樣本下比 PSI 或 KLD 更具 _____，即較不容易產生偽陽性。	保守性 (Conservative)
在 Revolut 的案例中，新模型上線後除了銷量增加，哪項財務指標也隨之提升？	風險調整後資本回報率 (RAROC)。
哪種特徵生成技術使用進化算法將特徵演化為數學表達式，但可能導致缺乏解釋性？	遺傳編程 (Genetic Programming, GP)。
進行 A/B 測試時，避開重大促銷節點（如雙 11）是為了消除什麼干擾？	季節性效應與異常流量高峰。
在決策流中，若要根據 testGroup 變量選擇不同的評分卡，這屬於哪種 A/B 測試模式？	規則外控制（流程控制模式）。
在進行特徵監控時，「殘差監控」(Residual Monitoring) 的主要目的是什麼？	檢查是否有新生成的特徵能對現有模型提供額外的預測價值。
概念：Reject Referencing	定義：利用外部數據（如徵信局）獲取被本行拒絕但在他行獲得信貸者的表現數據。
在 PD 模型開發中，排除觀察時間不足、無法定義好壞的帳戶，這稱為處理 _____ 數據。	右刪失 (Censored)
MIV 的計算過程中，$WoE_{expected}$ 是基於什麼計算的？	當前模型的分數（Incumbent model's scores）。
在 A/B 測試中，為了平衡風險與檢測效率，可以使用哪種假設檢定方法進行即時監控？	循序假設檢定 (Sequential Testing)。
「統計顯著」是否等同於「業務重要」？	不等同。大樣本下微小差異也可能顯著，決策應看效果量與業務價值。
在 Python 或 R 中計算樣本量時，除了雙比例 Z 檢定，通常還需指定 _____（單尾或雙尾）。	檢定方向
為什麼在 JSD 計算中不需要擔心分箱為空的問題？	因為它使用混合分佈 $Q = (P+Q)/2$，確保對數項的分母不為零。
在信用評分卡中，WoE 為正值通常代表該類別的風險比平均值 _____。	高 (Higher risk)
對於結構性信用風險模型，哪種模型引入了跳躍過程以捕捉市場的不連續變動？	Merton 躍遷模型 (Merton with Jump)。
在進行分箱合併時，若兩個連續分箱的違約率趨勢發生逆轉且無法合理解釋，應如何處理？	將這兩個分箱合併以確保單調性或穩定性。
在 DecisionRules 模板中，如何定義 Challenger 策略應用於 $10\%$ 的流量？	在決策表中指定偽隨機數範圍（如 $0$ 到 $9$）。
當 A/B 測試的主要指標提升但護欄指標顯著惡化時，正確的決策建議為何？	不應全面推廣，需進一步分析負面影響的根源。
MIV 的數學基礎源自於 _____ 理論。	信息論 (Information Theory)
在 Revolut 案例中，哪種模型在處理替代數據 (Alternative Data) 時優於邏輯回歸？	樹集成模型 (Tree Ensembles)。
在統計學中，判定觀察到的差異是否僅由隨機性引起的嚴謹框架稱為什麼？	假設檢定 (Hypothesis Testing)。
IV 值處於 $0.1$ 至 $0.3$ 之間，代表特徵的預測能力為 _____。	中等預測能力 (Medium predictive power)
在風控策略 A/B 測試閉環中，最後一個步驟通常是什麼？	策略調整與迭代。
卡方分佈的自由度 $df$ 在分佈差異檢定中通常由什麼決定？	分箱數量減一 ($B-1$)。
