根據 Gartner 的四大數據分析框架，「描述性分析」主要關注哪一個核心問題？	發生了什麼事？（What happened?）
根據 Gartner 的四大數據分析框架，「診斷性分析」主要關注哪一個核心問題？	為何會發生？（Why did it happen?）
在數據分析的階段中，哪一種分析類型能提供「事後覺察」（Hindsight）？	描述性分析。
在數據分析的階段中，哪一種分析類型能提供「洞見」（Insight）？	診斷性分析。
「預測性分析」在數據分析框架中主要探討什麼問題？	將來會發生什麼？（What will happen?）
「處方性分析」的最終目標是什麼？	研究我們可以做什麼來讓未來更符合期待。
描述性分析與診斷性分析在邏輯順序上有何關係？	描述性分析通常是第一步，診斷性分析則是針對觀察到的現象進一步追查原因。
診斷性分析中常用來尋找根本原因的思考方法為何？	假說思考法。
描述性分析常用的客觀數據指標包含哪些？	平均數、總計、最大值、最小值等統計數值。
診斷性分析與資料科學領域（如建模）的主要區別為何？	診斷性分析偏重探討原因（Why），資料科學則更進一步處理預測與處方性分析。
請定義數據分析中的「假說思考法」。	根據過去經驗或目前資訊，提出最接近根本原因的猜想與假說。
描述性分析的典型應用案例為何？	觀測上個月網站的訪客數、點擊率或營收總額。
診斷性分析的典型應用案例為何？	分析為何第二週的網站訪客人數會突然成長 15%。
在診斷性分析表（Diagnostic Table）中，除了提出「假設」與「理由」，還需具備哪項要素？	檢驗方式（驗證假設的方法）。
描述性分析的主要目的是讓決策者對資料產生何種認知？	了解資料的現況與「長相」。
診斷性分析常遇到的挑戰之一是無法僅從數據得出結論，這時需要加入什麼？	領域知識（Domain Knowledge）或業務經驗。
在數據視覺化中，「維度」（Dimension）通常是指哪種類型的資料？	類別型資料，如名稱、日期或地理位置。
在視覺化工具中，「量值」（Measure）通常是指哪種類型的資料？	數值型資料，可以進行加總、平均等運算。
商業智慧工具（BI）的主要用途為何？	追蹤固定關鍵指標（KPI）與產出標準化報表。
AI 在現代數據分析中扮演的主要角色為何？	輔助分析非結構化資料，並提供彈性且個人化的分析建議。
為什麼在視覺化圖表中，灰色通常被建議作為次要資訊的顏色？	灰色具有將資訊推向背景的效果，能減少視覺負擔並凸顯主色。
為什麼視覺化專家通常不推薦使用 3D 圓餅圖？	3D 效果會產生視覺偏差，讓人難以精確比較各個區塊的實際面積比例。
長條圖（Bar Chart）在比較數據時，最重要的視覺基準點是什麼？	數值起點應從 0 開始，以確保視覺上的長度與實際數值比例一致。
若數據間落差極大導致難以在同一座標軸呈現，可採取哪種數學處理方式？	取對數（Log）轉換。
在視覺化原則中，為什麼要避免在圓餅圖中使用過多的分類？	分類過多會使各塊面積難以區分，導致讀者無法有效率地進行數據溝通。
Tableau 的「標記」（Marks）窗格主要功能為何？	設定圖表的顏色、大小、標籤、詳細資料等視覺特徵。
Tableau 中「離散」（Discrete）資料通常以什麼顏色顯示？	藍色。
Tableau 中「連續」（Continuous）資料通常以什麼顏色顯示？	綠色。
在數據處理流程中，「Garbage in, garbage out」這句話強調了什麼？	強調資料清洗（Data Cleaning）與品質的重要性，錯誤的原始資料會導致無意義的分析結果。
Google 提出的數據分析六大流程，起始步驟為何？	提問（Ask），即定義要解決的問題。
何謂「非結構化資料」？	沒有固定格式的資料，例如對話文字、圖片、影片或手寫記錄。
樞紐分析表（Pivot Table）的三大核心元素為何？	列（Rows）、欄（Columns）、值（Values）。
在 Tableau 中，若想將圖表進一步切割成更細的層級，應將欄位拖曳至哪個位置？	詳細資料（Detail）。
當進行診斷性分析時，若 AI 提供了 20 個潛在原因，分析師應如何過濾？	利用業務經驗判斷可能性，並逐一設計檢驗方式來驗證。
為何「散佈圖」（Scatter Plot）常用於關聯性分析？	它能呈現兩個量值（x 軸與 y 軸）之間的關係與分布趨勢。
在視覺化溝通中，何謂「前注意力特徵」（Pre-attentive attributes）？	大腦在意識思考前，會優先關注的視覺特徵，如顏色對比、形狀、大小或方向。
「樹狀圖」（Treemap）與圓餅圖有何相似之處？	兩者皆利用「面積」來呈現部分對整體的占比關係。
數據分析中的「資料品質」主要衡量哪些面向？	完整度、正確性、即時性與一致性。
在 Tableau 中，若要針對特定範圍的資料進行觀察，應使用哪項功能？	篩選器（Filter）。
如何優化數據分析簡報的讀取效率？	運用色彩對比凸顯關鍵數字，並在標題直接點出分析結論。
描述性分析的結論通常以什麼方式呈現？	事實陳述，例如：「高雄市是 A1 事故件數最多的縣市」。
診斷性分析的結論通常以什麼方式呈現？	假說驗證的結果，例如：「二月事故較多可能與農曆年人潮增加有關」。
在 Excel 樞紐分析中，「值」區域通常預設進行什麼運算？	加總（Sum）或計數（Count）。
為何數據視覺化被視為「數據溝通」的重要環節？	因為圖表能將枯燥且龐大的數據轉化為易於理解的模式與洞察。
在診斷性分析的過程中，若假說被驗證為偽，下一步應如何處理？	重新提出新的假說並進行新一輪的數據驗證（迭代過程）。
描述性分析可以幫助我們回答「目標達成率為何」，那診斷性分析則幫助我們回答？	「目標未達成的原因為何」。
在 Tableau 中，自動生成的「緯度」與「經度」欄位主要用於產生何種圖表？	地圖（Map）。
「堆疊長條圖」的視覺限制為何？	除了底部的分類，中段與上段的分類因起點不同，難以直接精確比較長度。
在進行數據分析提問時，為何要強調「量化指標」？	量化指標能讓問題變得可測量、可觀察，進而找出改善的行動方案。
AI 工具在診斷性分析中如何輔助「追問」？	利用上下文記憶，針對描述性分析的初步發現，提出多個可能的因果假設。
在分析 A1 交通事故資料時，若僅觀察總件數而未考慮人口比例，這屬於何種分析誤區？	數據誤導（未標準化），無法推論真實風險高低。
數據視覺化工具中的「計算欄位」通常用於什麼目的？	根據原始資料定義新的邏輯或公式，例如計算「利潤率」。
在 Tableau 中，若要將不同年度的同一月份數據合併觀察，應選取哪種日期顯示方式？	離散日期（Discrete Date）或上方的日期層級。
數據分析流程中，「行動」（Action）階段的目的是什麼？	解決最初提出的問題或達成商業目標。
在視覺化設計中，「高亮顯示」（Highlighting）的主要功用是什麼？	引導讀者的目光停留在最重要的數據點或異常值上。
描述性分析中的「描述性統計」與「視覺化描述」有何共通點？	兩者皆是為了客觀地呈現歷史資料的現況。
診斷性分析的「假說」通常來源於何處？	目前的資訊觀察、過去的經驗或者是對商業流程的理解。
使用 AI 輔助數據清洗時，為什麼需要提供「範例資料」？	讓 AI 學習資料的長相與結構，以產出正確的清洗邏輯或公式。
在 Tableau 中，將 Measure 選項改為「平均值」而非「加總」，屬於哪一類分析動作？	描述性分析。
針對「為什麼營收下滑」進行的跨部門會議，本質上是在進行哪一類分析？	診斷性分析。
在處理個人隱私資料時，提供給 AI 前應進行什麼動作？	去識別化（De-identification），如遮蔽姓名或 Email。
分析圖表選用中，若要觀察時間序列的變化趨勢，哪種圖表最合適？	線圖（Line Chart）。
「診斷性分析」對於企業決策的重要性為何？	它能找出成功或失敗的關鍵因子，作為優化營運的依據。
在描述性分析中，如何發現資料中的「缺漏值」？	透過完整展開的時間軸或分布圖，觀察是否有不尋常的數據空白處。
描述性分析專注於「過去」，預測性分析專注於「未來」，那診斷性分析專注於？	連結過去現象與未來改進的「因果橋樑」。
