在信用風險研究中，使用受監督的大語言模型框架處理文檔的主要目的是什麼？	從非結構化科學論文中自動提取模型、性能指標和驗證類型等結構化數據。
受監督框架（Supervised Framework）相對於一般大語言模型提取，在哪兩個錯誤指標上表現更低？	幻覺（Hallucination）和遺漏（Omission）錯誤。
在 Cojocaru 等人的框架中，用於檢測科學論文中表格邊界和單元格的特定模型是什麼？	Table Transformer（在 PubTables-1M 數據集上訓練）。
Cojocaru 框架中，「元數據塊」（Metadata block）評估指標包含哪四個核心字段？	標題（Title）、作者（Authors）、年份（Year）和 DOI。
在受監督框架的評估中，「忠實度」（Faithfulness）衡量的是什麼？	提取的信息與源文本內容的匹配程度。
在受監督框架的評估中，「完整性」（Completeness）衡量的是什麼？	所有必需的數據元素是否都已存在於輸出中。
Cojocaru 框架中，處理長文檔時為了保持語義連續性，將文本分成了什麼樣的片段？	重疊的文本段（Overlapping text segments）。
框架中使用的「Map Reduce」程序的具體作用是什麼？	確定性地合併重疊內容，並確保各字段的一致性。
為什麼在該框架中要對源文件進行 SHA-256 哈希處理？	為了確保非冗餘性，並實現從原始 PDF 到結果的全程追蹤。
根據研究結果，決定大語言模型自動數據提取可靠性的關鍵因素是什麼？	結構化監督（Structured supervision）而非模型容量（Model scale）。
計算綜合加權得分的公式為 $\frac{M_{meta} + M_{models} + M_{refs}}{3}$，其中 $M_{refs}$ 代表什麼？	規範化的參考文獻塊均值（Normalized references block mean）。
叡揚資訊開發的 Deep OCR 技術主要協助金融業處理哪種文件？	財務報表（Financial Statements）。
Deep OCR 技術相對於傳統 OCR 的核心改進是什麼？	能讀取掃描結果，將非結構化資料轉為結構化資料，快速匯入徵授信系統。
企業在考慮導入 AI 時應考量的「SPACE」架構中，「S」代表什麼？	安全（Security）。
企業在考慮導入 AI 時應考量的「SPACE」架構中，「P」代表什麼？	痛點（Pain）。
企業在考慮導入 AI 時應考量的「SPACE」架構中，「A」代表什麼？	應用範圍（Application）。
企業在考慮導入 AI 時應考量的「SPACE」架構中，「C」代表什麼？	算力（Computing power）。
企業在考慮導入 AI 時應考量的「SPACE」架構中，「E」代表什麼？	升級與成本（Enhance and expense）。
叡揚團隊在導入 AI 前，通常會進行為期一個月的什麼程序？	概念性驗證（PoC, Proof of Concept）。
若 AI 演算法沒有持續進行哪種學習或升級，其準確率可能會下降？	增量學習（Incremental learning）。
Luo 研究中，金融監管智能助手系統的三個層級分別是什麼？	數據層（Data layer）、模型層（Model layer）和應用層（Application layer）。
監管問答模組中，「解釋性查詢」（Interpretive inquiries）的主要目的是什麼？	澄清監管法律條文的含義。
監管問答模組中，「適用性問題」（Applicability questions）旨在確定什麼？	特定條款是否適用於特定的個案。
Luo 的系統中，哪種技術被用來根據權威源材料生成準確的回答？	檢索增強生成（RAG, Retrieval Augmented Generation）。
問答模組中，「程序性查詢」（Procedural queries）主要涉及哪些內容？	申報要求和截止日期。
Luo 的研究中，為了減少幻覺問題，系統執行了哪三種層級的驗證？	詞彙重疊測試、語義蘊涵模型和一致性檢查器。
風險篩選模組中，信用風險的具體指標「不良貸款率」定義為何？	不良貸款（NPLs）佔總貸款的比例。
風險篩選模組中，「撥備覆蓋率」（Provision Coverage Ratio）定義為何？	貸款損失準備與不良貸款的比例。
流動性風險指標中，「LCR」的全稱及定義為何？	流動性覆蓋率；高質量流動性資產與淨現金流出的比例。
風險篩選模組如何處理來自財務報告敘述部分的「非結構化數據」？	通過命名實體識別、情感分析和關係提取來獲取風險信號。
情感分析在管理層討論部分的作用是什麼？	評估語氣，負面情感可能作為財務困境的領先指標。
Luo 系統如何解決風險模型的「黑箱」問題？	由大語言模型生成解釋，說明貢獻得分的主要風險因素和建議措施。
Luo 實驗結果顯示，大語言模型輔助使監管問題的響應時間減少了多少？	82.6%。
綜合監管效率指數（CEI）權重分配中，哪一項佔比最高（30%）？	準確性（Accuracy）。
