「數據思維」定義中的三個核心步驟為何？	明確提問、指標驗證、採取行動。
數據思維強調在收集資料之前，應先釐清什麼？	要解決的具體問題或目的。
在數據分析中，將模糊目標轉換成具體目標的過程稱為什麼？	量化（或指標定義）。
根據 Gartner 的分類，著重於「發生了什麼事？」的分析類型為何？	描述性分析 (Descriptive Analysis)。
診斷性分析 (Diagnostic Analysis) 核心關注的問題點為何？	為何會發生？ (Why did it happen?)
預測性分析 (Predictive Analysis) 旨在回答哪一個時間維度的問題？	將來會發生什麼？
哪一種數據分析類型著重於「我們可以做什麼來讓未來更符合期待」？	處方性分析 (Prescriptive Analysis)。
在數據分析的成熟度中，「事後覺察 (Hindsight)」包含哪兩種分析？	描述性分析與診斷性分析。
數據分析中的「預見性 (Foresight)」通常與哪兩個領域相關？	預測性分析與處方性分析（或資料科學領域）。
在解決問題時，根據經驗或目前資訊提出「最接近根本原因」猜想的方法為何？	假說思考法 (Hypothesis-Driven Thinking)。
假說思考框架包含哪三個核心要素？	假設、理由、檢驗方式。
為什麼在診斷性分析中需要不斷進行「疊代 (Iteration)」？	為了驗證假說是否正確，若錯誤則需提出新假說。
分析數據前必須先進行哪一個步驟，以確保數據的正確性與乾淨度？	資料清洗 (Data Cleaning)。
在 Excel 中，將原始資料按不同維度整合、觀察趨勢最常用的工具為何？	樞紐分析表 (Pivot Table)。
何謂「結構化資料」？	具有固定欄位與格式，易於被機器辨識與分析的資料。
視覺化設計中，人類大腦會優先關注的特徵（如長度、顏色）統稱為？	前注意力特徵 (Pre-attentive attributes)。
在長條圖中，如果 y 軸不從 _____ 開始，容易造成視覺上的誤導。	0
當數據範圍極大、難以直接比較時，數學上常採取什麼處理方式？	取對數 (Log)。
在視覺化溝通中，「灰色」通常扮演什麼樣的角色？	退到背景，呈現次要或背景資訊。
「亮色或對比色」在圖表設計中的主要用途為何？	引導視覺焦點至最重要的資訊。
為什麼「堆疊長條圖 (Stacked Bar Chart)」不適合用來比較中間區塊的長度？	因為基準線不統一，導致肉眼難以精確判斷。
在 Tableau 中，「藍色」欄位（Pill）代表什麼性質的資料？	離散型 (Discrete)。
在 Tableau 中，「綠色」欄位（Pill）代表什麼性質的資料？	連續型 (Continuous)。
Tableau 的哪一個功能區域可用來設定顏色、大小、標籤與詳細資訊？	標記卡 (Marks card)。
適合呈現階層結構且透過方塊大小與顏色反映數據權重的圖表為何？	樹狀圖 (Treemap)。
Tableau 中可以用來快速判斷數值大小分布的「熱度」圖表正式名稱為何？	醒目提示資料表 (Highlight Table)。
在 Tableau 時間維度中，「日期部分 (Date Part)」與「日期值 (Date Value)」的主要差異為何？	日期部分是離散循環的（如每年的二月），日期值是連續線性的。
Tableau 中，「階層 (Hierarchy)」功能的主要用途為何？	實現數據的向下鑽取 (Drill-down)，例如從年查看至季。
在資料分析流程中，通常佔據最多時間的階段為何？	資料準備與清洗。
視覺化溝通的「黃金圈法則」包含哪三個層次？	Why (為何看圖)、How (如何呈現)、What (數據內容)。
研究指出，LLM 在進行多輪對話 (Multi-turn) 時，成功率會從 90% 降至約？	60%
透過自然語言互動生成 BI 結構成果的技術概念簡稱為？	JBI (Generative Business Intelligence)。
在與 AI 進行數據分析協作時，設定 _____ 可以讓回應更具專業針對性。	角色定位 (Role Definition)
當數據出現異常峰值（如新北市 3 月車禍數暴增），應優先排除哪種可能性？	單一重大事故導致的偏差。
為了正確比較不同人口基數縣市的事故風險，應將「件數」轉換為何種指標？	率（如事故率或人口標準化後的比例）。
為什麼使用「面積」來呈現單一維度數據差異（如圓形大小）容易產生誤導？	人類大腦對面積比例的感知不如對長度直觀且精確。
Tableau 裡的 LOD 是什麼縮寫？	Level of Detail（詳細層級）。
診斷性分析中，提出「檢驗方式」的目的是什麼？	定義如何利用具體數據來證實或推翻先前提出的假說。
描述性分析提供的通常是「客觀描述」，診斷性分析則提供「_____」。	洞見 (Insight)
在與 AI 討論分析題目時，若想獲得對應的操作建議，應在 Prompt 中加入什麼描述？	資料欄位名稱與資料長相範例。
在視覺化批判中，若圓餅圖的總和超過 100%，主要的錯誤為何？	邏輯錯誤，圓餅圖應代表整體的佔比。
Tableau 與 Power BI 在操作風格上的主要差異為何？	Tableau 強調靈活的視覺探索與美感，Power BI 則與 Office 系列高度整合。
數據分析中的「非結構化資料」範例包括哪些？	影像、音檔、純文字評論等。
在進行時間序列分析時，通常選用哪種圖表最能呈現連續趨勢？	折線圖 (Line Chart)。
前注意力特徵中的「封閉性 (Enclosure)」如何輔助讀者？	透過圈選或色塊將特定資料歸類為一群。
Tableau 的哪一個功能可以自動產生經緯度範例？	地理角色 (Geographic Role) 設定。
為什麼在 AI 輔助分析時，需強調「不輕易上傳機敏資料」？	為了維護資訊安全與隱私規範。
假說思考中，「理由」的部分應基於什麼來撰寫？	生理警覺、環境條件、外部事件等邏輯推論。
Tableau 工作簿 (Workbook) 檔案管理的核心邏輯是什麼？	一個分析主題或一份類型資料建議開啟一個新檔案。
在數據分析流程中，「行動」階段的主要目的是什麼？	解決一開始提出的問題或達成既定目標。
