數據結構根據其組織程度，主要可分為哪三大類型？	結構化資料、半結構化資料與非結構化資料。
哪種資料類型通常以「表格」呈現，並具有明確的欄位屬性（如 Excel 或資料庫）？	結構化資料。
JSON 與 XML 檔案屬於哪一種數據結構類型？	半結構化資料。
圖片、影片或自由格式的社群媒體貼文，屬於哪一種數據結構類型？	非結構化資料。
在資料分析中，「補值」（Imputation）的主要目的是什麼？	用統計或規則推估最可能的值，填補缺漏資料以利完整分析。
將單一欄位的「國家與城市」（如 Taiwan, Taipei）拆分為兩個欄位，屬於哪種資料清洗動作？	切割（Split）。
資料清洗中的「萃取」（Extract）動作通常用於處理什麼樣的資訊？	清除欄位中多餘的、不需要的資訊（如財務欄位的逗點）。
Gartner 提出的四大分析框架中，關注「發生了什麼事？」的是哪一種分析？	描述性分析（Descriptive Analytics）。
旨在回答「為何會發生？」的數據分析類型稱為？	診斷性分析（Diagnostic Analytics）。
預測性分析（Predictive Analytics）主要探討的核心問題是什麼？	將來會發生什麼？
哪種分析層次最高，旨在提供決策建議以達成期望的未來？	處方性分析（Prescriptive Analytics）。
在 Tableau 中，藍色的欄位代表什麼樣的屬性？	維度（Dimensions），通常是類別型或離散數據。
在 Tableau 中，綠色的欄位代表什麼樣的屬性？	量值（Measures），通常是數值型或連續數據。
Tableau Public 版本與付費版的主要差異之一是什麼？	Public 版為免費提供，但儲存的作品必須公開。 
為什麼在製作長條圖時，Y 軸通常被建議從零開始？	避免因基準點不同而造成視覺上的比較偏誤或心機干擾。
當長條圖的數值落差過大時，除了調整基準點，還可以用哪種數學方式調整尺度？	取對數（$log$）。
在資料視覺化中，使用「面積」來比較數值時常會產生什麼問題？	人類大腦難以精確估計面積差異，且面積會隨平方倍增導致視覺誇大。
在 Tableau 的色彩設定中，「漸層色彩」通常適用於哪種欄位屬性？	數值型或量值欄位。
視覺化心理學中，什麼顏色通常用於表示「背景資訊」或「次要資訊」？	灰色。
螺旋圖（Spiral Chart）在結構上可以視為哪種圖表的變體？	將折線圖拉直後即為螺旋圖。
在使用 AI 進行數據分析提問時，採用什麼樣的格式有助於 AI 理解資訊階層？	Markdown 格式。
在將機密資料提供給 AI 分析前，最簡單的個人資料保護方式是什麼？	去識別化（如將姓名改為代號、金額取對數）。
Excel 樞紐分析表中，若修改原始資料後聚類結果未更新，通常是因為什麼問題？	快取（Cache）尚未更新，需重新整理或重建表格。
當 X 軸為連續型數值，且需觀察分佈情況時，適合使用哪種圖表？	直方圖（Histogram）。
若要同時呈現多個項目的「百分比佔比」與「年度變化」，建議使用哪種長條圖？	百分比堆疊長條圖。
樹狀圖（Treemap）適合用來觀測什麼樣的資料特徵？	呈現階層式結構中由大到小的組成與佔比。
在資料品質維度中，「及時性」指的是什麼？	資料必須是有效且新鮮的，以反映當前情況（如股票數據）。
在 Tableau 載入 Excel 資料時，若一個檔案有多個工作表，應如何處理？	將目標工作表拖曳至右側的畫布區域完成載入。
在 Tableau 畫布中，一個「工作表」可以用來繪製幾個圖表？	一個圖表。
針對跨多個年度的季節趨勢分析，Tableau 的時間格式提供了哪兩種層級選擇？	跨年度的季節（如 2015 Q2）或單一季節的年度彙整（所有年份的 Q2）。
在 Tableau 中，若要將圖表的顏色根據銷售額深度自動調整，應將該欄位拖至何處？	標記（Marks）卡片中的「色彩」。
「連續型」數據在視覺化工具中通常以什麼顏色作為視覺提示？	綠色。
「離散型」數據在視覺化工具中通常以什麼顏色作為視覺提示？	藍色。
Excel 函數中，若要將民國年日期轉換為西元格式並強制輸出為文字，可配合使用哪個函數？	TEXT 函數。
資料清洗中的「模糊重複值」（Fuzzy Duplicates）是指什麼？	內容極其相似但寫法不一的資料（如 Google Inc. 與 Google LLC）。
在 Tableau 編輯色彩時，「分段色彩」的主要用途是什麼？	將連續的數值範圍強制劃分為數個固定的顏色階層。
哪種圖表最適合呈現兩個變數（X 軸與 Y 軸）之間的關聯性或相關趨勢？	散佈圖（Scatter Plot）。
若原始資料的地點資訊包含地址，Tableau 如何生成地圖座標？	透過內建的地點資料庫自動對應出經緯度（Latitude/Longitude）。
在數據分析流程中，將「圖片」整理成「分級表格」的行為屬於哪一個步驟？	處理（Processing/Cleaning）。
描述性分析中，常用的統計數值包括哪些？	平均數、最大值、最小值與計數。
Tableau 的「標籤」功能中，若只想標註銷售額最高的一點，應選擇哪種設定？	最小值/最大值（Min/Max）。
在 Tableau 中，若要根據多個欄位篩選圖表，應將欄位拖曳至畫布的哪個區域？	篩選器（Filters）。
在 Excel 中，CSV 檔案與普通 XLSX 檔案最大的差異是什麼？	CSV 為純文字格式，不保留公式、格式或多個工作表。
為什麼在 AI 指令中應避免直接貼上包含各資的試算表連結？	防止敏感資訊被用於訓練模型或導致外部洩漏風險。
在數據分析中，「異場值」（Outliers）通常如何定義？	數值顯著不同於多數數據的觀測點。
在 Tableau 中，「離散」與「連續」的概念分別對應於哪兩種數學類型？	分類（Qualitative）與數值（Quantitative）。
Tableau 的色彩調色盤中，「發散型色彩」（Diverging）通常用於什麼情況？	強調數值相對於中心值（如零）的正負偏差。
什麼是「數據顆粒度」（Data Granularity）？	資料記錄的細膩程度，如時間層級（年、月、日、分）。
在分析事故資料時，將地址轉化為「路口」層級的分析稱為？	降低顆粒度（Aggregation）。
在 Excel 中利用 AI 生成複雜函數時，若公式跨工作表，應在指令中提供什麼？	明確的工作表名稱與對應的欄位代號（如 A1）。
在視覺化作品中，「信號與雜訊」比率的高低代表什麼？	越高代表圖表傳達核心資訊的效率越佳，干擾元素越少。
對於「非結構化資料」，現代 AI 技術（如 GPT-4）如何輔助轉換為「結構化資料」？	透過影像識別或自然語言處理將文字/圖片內容轉換為表格欄位。
在 Tableau 介面左側，自動生成的「技術（技術）」欄位代表什麼意義？	計算原始資料的紀錄筆數（Count）。
在 Tableau 工作表中，「欄」與「列」分別對應圖表的什麼軸？	「欄」對應 X 軸，「列」對應 Y 軸。
若要一次選擇多個不連續的欄位來生成圖表，應按住鍵盤哪個鍵？	Ctrl 鍵（Windows）或 Command 鍵（Mac）。
為什麼餅圖（Pie Chart）通常不建議用於比較超過 5 個以上的類別？	類別過多時，角度差異難以用肉眼辨識，失去比較效率。
數據分析專家建議，在資料視覺化的「分享」階段，最關鍵的目標是什麼？	數據溝通與說服相關利害關係人（Stakeholders）。
在 Excel 樞紐分析表中，若想知道「不重複」的會員數，應使用哪種計算類型？	相異計數（Distinct Count）。
在 Tableau 中，若要取消自動聚合，改為顯示每一筆原始數據點，應在選單中如何操作？	取消勾選「分析」選單中的「彙總度量」。
在 Tableau 中，若圖表色彩太鮮艷導致視覺疲勞，可以調整哪個設定？	不透明度（Opacity）。
