在電腦運算中，哪種數據處理技術透過消除重複出現的冗餘數據複本來提高存儲利用率？	數據去重（Data deduplication）。
數據去重過程中，系統會識別並存儲唯一的、連續的數據塊，這些數據塊又被稱為什麼？	數據塊（Chunks）或位元組模式（Byte patterns）。
數據去重與單一實例存儲（SIS）的主要區別在於去重可以操作在什麼層級？	段（Segment）或子塊（Sub-block）層級。
壓縮算法主要識別單個文件內部的冗餘，而數據去重的主要意圖是什麼？	檢查大量數據以識別相同的文件或文件中的大型片段。
當數據在流動過程中即時進行雜湊計算並排除重複項的去重方式稱為什麼？	在線去重（In-line deduplication）。
在線去重的一個主要缺點是由於雜湊計算量大，可能會降低什麼性能？	存儲吞吐量（Storage throughput）。
數據先寫入存儲設備，隨後再由後台程序分析重複項的去重方法稱為什麼？	後處理去重（Post-process deduplication）。
與在線去重相比，後處理去重的一個潛在風險是什麼？	在去重完成前，重複數據可能會暫時佔滿系統容量。
發生在數據產生位置附近的數據去重技術稱為什麼？	來源去重（Source deduplication）。
在來源去重中，當文件被修改時，系統會使用哪種機制來創建變更後的副本？	寫入時複製（Copy-on-write）。
在 Linux 等系統中，允許多個文件信息條目共享數據且行為類似硬連結的技術稱為什麼？	引用計數鏈接（Reference-counted link，簡稱 reflink）。
去重發生在數據存儲端（如 SAN/NAS 或備份庫）而非產生端的情況稱為什麼？	目標去重（Target deduplication）。
為什麼雜湊標識相同不能在邏輯上 $100\%$ 保證數據絕對相同？	根據鴿巢原理（Pigeonhole principle），不同的數據塊可能產生相同的雜湊值。
哪種去重方法使用通過文件流的窗口來尋找自然發生的內部邊界？	滑動塊或內容定義切分（Content-defined chunking）。
對於難以去重的加密數據，數據去重的常見障礙是什麼？	加密會消除數據中可識別的模式，使其看起來都是隨機且唯一的。
什麼是交易對手信用風險（CCR）？	對手方在交易具有正價值（In-the-money）時違約的可能性。
歐洲中央銀行發布的 EGAM 文件主要針對哪種風險計算方法提供評估準則？	計算對手方信用風險曝險的內部模型法（IMM）。
在 IMM 模擬中，符號 $t_0$ 代表什麼含義？	模擬時間網格的第一個日期，即計算有效預期正曝險的報告日期。
證券融資交易（SFTs）除了回購協議外，還包含哪些業務類型？	保證金貸款/借貸以及證券/大宗商品借貸。
在 CCR 監管中，標竿系統（Benchmarking systems）的值通常是指經過哪項程序後的值？	獨立價格驗證（Independent price verification）。
若某模型實施在幾乎所有情況下都導致過低的曝險值，這被稱為什麼？	系統性低估曝險（Systematically underestimated exposures）。
「定價模型」與「定價函數」的區別在於定價函數考慮了具體的什麼？	實施細節，包含輸入數據、參數化和具體的數值方法。
在對手方違約後，機構停止支付現金流之前所採取的所有法律和營運行動稱為什麼？	違約管理程序（DMP）。
根據 EGAM，IMM 初始核准時應涵蓋至少多少比例的風險加權資產（RWA）？	$50\%$。
根據 EGAM 的要求，回測（Back-testing）的最低執行頻率是多少？	每年至少一次。
在 IMM 校準中，哪種校準方法利用時間序列分析來處理隨機風險因子？	歷史校準（Historical calibration）。
在保證金交易建模中，MPOR 的全稱及其含義是什麼？	保證金風險期間（Margin period of risk），指違約到風險被對沖或清算的時間段。
保證金餘額中的 MTA 縮寫代表什麼？	最低轉帳金額（Minimum transfer amount）。
錯誤方向風險（Wrong-way risk）在監管上通常被分為哪兩大類？	特定錯誤方向風險（SWWR）和一般錯誤方向風險（GWWR）。
在模型驗證中，為什麼需要在市場價值層級進行回測？	它可以揭示可能被曝險層級地板價（Flooring）遮掩的模型價格預測缺陷。
對於專家設置參數（Expert-set parameters），除了回測外還需進行什麼檢查？	合理性檢查和敏感度分析。
機構若要修改 IMM 的序列實施計劃，必須證明發生了什麼樣的重大變化？	策略變動、合併或收購等商業環境的重大變化。
機構在實施 IMM 時應優先處理哪類交易？	與核心業務相關的交易類型。
為了保證驗證職能的獨立性，驗證人員的薪酬不應與什麼掛鉤？	模型開發相關任務的績效。
模型文檔的詳細程度必須達到什麼標準才算具備可審計性？	第三方應能夠理解其設計推理並複製計算出的風險衡量值。
如果機構將模型開發外包給第三方，這是否免除了其遵守 CRR 監管的責任？	否，外包不免除合規責任。
當機構暫時不符合 IMM 要求時，必須向監管機構提交什麼樣的計劃？	恢復及時合規的計劃。
掉期券（Swap coupons）或到期結算屬於哪一類現金流？	交易相關現金流（Trade-related cash flows）。
用於支付變動保證金和初始保證金呼叫的款項稱為什麼？	保證金相關現金流（Margin-related cash flows）。
為什麼雜湊衝突會威脅數據完整性？	因為系統可能會錯誤地認為兩段不同的數據是相同的，從而導致數據損壞。
