在金融科技中，「內嵌路徑」（Inline path）的主要特點為何？	模型決策必須在交易授權窗口內的極短時間返回。
在金融科技中，「非同步路徑」（Async path）主要處理哪類工作？	文件解析、合規審查、財務研究或客服工作流等非即時任務。
根據 Stripe 的案例，其優化後的詐騙偵測流水線 p99 延遲是多少？	9.4 毫秒（ms）。
Adyen 的即時機器學習推理端點每秒處理多少請求？	超過 2,000 個請求。
金融機構中「內嵌 AI」通常被分配多少毫秒來完成詐騙檢查？	50 到 100 毫秒。
JPMorgan 的 COiN 系統在幾秒鐘內處理完的貸款協議，以往需要多少人工審核小時？	約 360,000 小時。
何謂支付系統中的「p99 延遲」？	代表 99% 的請求都在此延遲數值內完成，反映系統的穩定性與尾部延遲。
PayPal 透過神經網路模型進行交易評分，每年節省了多少詐騙損失？	約 7 億美元。
HDFC Bank 使用哪種數據庫配合 Kafka 和 Flink 進行即時騾子帳戶偵測？	QuestDB。
DBS Bank 的即時詐騙系統在 10 毫秒內處理交易，其自動化處理的準確率是多少？	99.4%。
Revolut 運行其金融犯罪與交易系統使用了多少顆 NVIDIA H100 GPU？	超過 200 顆。
Morgan Stanley 的 AskResearchGPT 主要用於搜尋與總結多少份專有研究報告？	每年出版的 70,000 多份報告。
Klarna 的 AI 助手在運作首月處理了多少次客戶服務對話？	230 萬次，相當於 700 名全職代理人的工作量。
BloombergGPT 是一個擁有多少參數的模型，且專門針對金融文件進行訓練？	500 億（50B）參數。
在詐騙偵測中，「失敗開放」（Fail-open）策略的風險是什麼？	在沒有風險評分的情況下核准交易，可能導致詐騙損失增加。
在詐騙偵測中，「失敗關閉」（Fail-closed）策略的主要弊端為何？	可能會拒絕合法客戶的交易，造成營業額損失與客戶不滿。
全球「偽陽性拒絕」（False-positive declines）造成的損失估計是實際詐騙損失的幾倍？	約 22 倍。
PCI DSS 規範對卡片驗證碼（CVV）與 PIN 碼等敏感數據有何儲存要求？	即便加密，在授權完成後也不得儲存這些數據。
託管 AI API（如 OpenAI）的標準層（Standard tier）在金融生產環境中的主要限制？	延遲波動較大，且不提供保證的延遲目標。
使用「開放權重模型」（Open-weight models）進行私有部署的核心優勢為何？	團隊可完全控制數據邊界、日誌、訪問隔離及模型微調。
NVIDIA 的 Nemotron-4 340B 模型在對齊過程中使用合成數據的比例是多少？	超過 98%。
在金融 AI 中，為何需要「架構化輸出」（Structured outputs）？	為了讓下游服務能以 JSON 或 SQL 等固定結構解析數據並執行自動化任務。
行為特徵工程（Behavioral Feature Engineering）結合了哪種洗錢行為階段與犯罪學理論？	洗錢三階段與犯罪腳本理論（Crime Script Theory）。
在陳瑞基的研究中，僅使用哪 5 個非個資欄位即可萃取 24 項行為指標？	日期、時間、轉入金額、轉出金額、餘額。
投資詐欺偵測模型中，使用 SHAP 解析的主要目的是什麼？	提供模型的「可解釋性」，釐清模型判定詐欺的邏輯（如金額異常放大）。
行為特徵工程能將銀行防詐模型的「預測週期」從 15-20 日縮短至幾日？	2 日。
在處理不平衡金融數據集時，為何 Recall（召回率）比 Precision 更受重視？	因為漏抓詐騙的代價遠高於誤報的審查成本。
何謂防詐系統中的「資料極簡主義」（Data Minimalism）？	在不依賴敏感個資的前提下，僅憑動態交易行為特徵實現高準確度偵測。
傳統規則系統在應對現代數位金融詐騙時面臨的主要挑戰？	規則僵化、難以適應新型攻擊向量，且處理高頻交易時效能有限。
卷積神經網路（CNN）在詐騙偵測中的具體用途？	用於識別交易數據中的空間模式或編碼後的行為指紋。
長短期記憶網路（LSTM）為何適合偵測信用卡詐騙？	因為它擅長捕捉交易序列中的時間依賴性與行為變化。
圖神經網路（GNN）如何協助偵測組織型詐騙？	透過建立實體（帳戶、設備）間的關係圖，識別詐騙集團或洗錢網絡。
何謂 Explainable AI (XAI) 對金融監管的重要性？	讓金融機構能向監管機構解釋自動化決策的原因（如凍結帳戶的理據）。
微服務架構（Microservices）在即時 AI 系統中有何優勢？	實現獨立擴展、高故障容忍度，並能快速更新特定功能的 AI 模型。
聯邦學習（Federated Learning）如何保護金融數據隱私？	透過在本地訓練模型並僅交換加密更新，避免敏感原始數據離開機構邊界。
什麼是「概念漂移」（Concept drift）對詐騙模型的影響？	詐騙者不斷調整策略導致數據分布改變，使舊模型的預測準確率下降。
在處理詐騙數據類別不平衡時，平衡採樣（Balanced sampling）與 SMOTE 有何不同？	平衡採樣透過欠採樣保持原始行為特徵，而 SMOTE 則是生成人工合成樣本。
GRAN 框架提取的四種類型特徵為何？	客戶級節點屬性、商店特定屬性、網絡感知的交易模式、時間行為特徵。
GRAN 框架中計算客戶平均交易金額的公式為何？	$\mu_{amt} = \frac{1}{N_{trans}} \sum_{i=1}^{N_{trans}} amt_{i}$
GRAN 框架中計算交易頻率（Velocity）的公式為何？	$V = \frac{N_{trans}}{\Delta T_{days}}$
在 GRAN 框架的加權集成中，Random Forest 通常被分配多少權重？	50%。
萬事達卡（Mastercard）的 AI 系統每年掃描多少筆交易？	1,600 億筆。
萬事達卡（Mastercard）AI 進行即時風險評估的速度目標是多少？	50 毫秒（ms）。
在金融犯罪偵測中，「對抗性攻擊」（Adversarial attacks）指什麼？	攻擊者蓄意操縱輸入數據，以誘導 AI 模型做出錯誤判斷。
對於具有 12TB 以上的大型金融數據集，哪種訓練方式更有效率？	分布式訓練（Distributed training）。
何謂「行為生物辨識」（Behavioral biometrics）？	分析用戶在設備上的互動行為模式（如打字速度、點擊習慣）來核對身份。
AWS 的哪項服務專門用於建立、訓練及部署機器學習模型？	Amazon SageMaker。
合成數據生成（Synthetic Data Generation）對金融業有何特殊價值？	可在不暴露真實客戶記錄的情況下，針對罕見的詐騙案例生成訓練樣本。
圖神經網路（GNN）在「金錢清洗」偵測中識別「拆分交易」（Structuring）的比例約為多少？	約 80%（相比規則系統的 38%）。
在 AWS 架構中，哪種計算服務常用於實現 91% 自動化的數據清洗？	無伺服器計算（Serverless computing，如 AWS Lambda）。
什麼是「零數據保留」（Zero Data Retention，ZDR）？	服務供應商在處理請求後不存儲任何輸入或輸出數據的政策。
在 GRAN 框架中，「獨特商店計數」的數學符號表示為何？	$N_{merchant\_unique} = |\{m | m \in merchant\_clean \text{ for } d \in D_{customer}\}|$
為什麼金融機構會選擇「混合雲」部署模型？	為了平衡性能、數據主權（Data Sovereignty）與合規要求。
事件驅動架構（Event-driven architecture）如何降低詐騙損失？	透過在交易發生時立即觸發分析，而非事後批次處理，實現即時攔截。
在偵測假投資詐欺研究中，哪種演算法在不平衡數據情境下表現最佳？	XGBoost。
「數據投毒」（Data poisoning）如何威脅金融 AI 系統？	透過污染訓練數據集，使模型在生產環境中對特定詐騙模式產生盲點。
金融機構建立「AI 倫理委員會」的主要目的？	負責模型驗證、倫理風險評估，並確保自動化決策符合公平性。
為什麼信用卡詐騙偵測系統需要處理「類別不平衡」？	因為在數百萬筆交易中，僅有極少數（如 0.17%）是真實詐騙。
何謂「隔離森林」（Isolation Forest）演算法？	一種非監督式學習演算法，透過將異常樣本隔離來識別交易中的離群值。
「自動審計日誌」（Automated audit logs）在合規中的作用？	提供不可篡改的決策記錄，證明 AI 模型是根據哪些因素做出特定判斷。
對於敏感的金融負載，本地部署的「NVIDIA DGX SuperPOD」有何意義？	提供受控的內部基礎設施，在確保數據安全的前提下運行大型 AI 解決方案。
什麼是「連鎖偵防」（Cross-bank joint defense）？	不同金融機構間共享詐騙特徵或模型，共同攔阻跨行轉帳詐騙。
在行為特徵工程中，「群組化行為」分析的目的是什麼？	識別看似獨立但具有相似異常節奏（如定時小額轉帳）的關聯帳戶。
「結構化預期」層（Schema enforcement）在 AI 推理路徑中的職責？	確保 AI 生成的內容符合特定格式，以便後續系統（如分類帳）直接讀取。
在處理高頻交易時，AI 模型的延遲如何影響「轉換率」？	過高的延遲會導致結帳窗口超時，直接造成客戶交易失敗與流失。
「行為模式分析」如何識別「合成身份詐欺」？	透過分析跨管道互動中的細微不一致，識別結合真實與偽造資訊的身份。
對於非即時的文件處理，為何可以犧牲延遲來換取「更長上下文窗口」？	因為需要跨大量內容進行檢索與多步推理，且不需要在毫秒內返回結果。
AWS Streaming Data 服務在詐騙偵測中的角色？	以極低延遲（平均 52 毫秒）捕捉並傳輸即時交易流至推理引擎。
什麼是「模型漂移監控」（Model drift monitoring）？	自動評估模型性能是否隨時間下降，並在偏離基準值時觸發重新訓練。
