當前的反詐欺模型常未能識別所有詐欺事件，其主要忽略了數據中的哪項關鍵特徵？	網路結構 (Network Structure)。
在圖形分析中，多個帳戶持有人共享相同的個人身份資訊 (PII) 通常暗示了哪種詐欺類型？	共用身份詐欺 (Shared Identity Fraud)。
相對於表格數據模型，圖形資料庫在處理複雜關係時的主要優勢是什麼？	能夠持久化存儲並分析數據中固有的複雜網路結構與內在聯繫。
在詐欺偵測的特徵工程中，節點的「出度」與「入度」屬於哪一類型的特徵？	圖特徵 (Graph Features)。
哪種圖形算法可以用於突出顯示數據中的簇結構，進而調查可能的欺詐群體？	社區檢測算法 (Community Detection Algorithms)。
PaySim 金融數據集是基於哪種建模方法創建的？	代理模型 (Agent-based model)。
在 PaySim 數據集中，負責轉移資金並最終離開網路的客戶角色被稱為什麼？	騾子 (Mules)。
在 PaySim 數據集中，扮演網路「關口」(Gateway) 角色，允許資金進出網路的代理是？	商家 (Merchants)。
PaySim 交易類型中，客戶透過商家將資金轉入網路的行為稱作？	CashIn。
PaySim 交易類型中，客戶將資金轉入銀行的行為稱作？	Debit。
洗錢 (Money Laundering) 的核心定義是什麼？	將非法活動所得偽裝成合法資金的過程。
AMLBot 系統主要利用哪種人工智慧網路架構來偵測洗錢活動？	長短期記憶網路 (LSTM)。
為什麼 LSTM 適合應用於洗錢偵測？	因為它能處理時間序列數據並識別交易中的長短期時間依賴關係與異常模式。
AMLBot 系統在特徵選擇 (Feature Selection) 階段主要使用哪種統計檢定？	卡方檢定 ($\chi^2$ test)。
在傳統 AML 系統中，將客戶姓名與觀察名單進行比對的系統稱作？	名稱篩選系統 (Name Screening Systems)。
根據 UNODC 估計，全球每年洗錢金額約佔全球 GDP 的多少比例？	$2\%$ 至 $5\%$。
傳統基於規則 (Rule-based) 的 AML 機制，在偵測現代跨境犯罪時常面臨哪兩大缺點？	高誤報率 (High false-positive rates) 與缺乏適應新技術的靈活性。
銀行風險管理中，由於借款人未能履行義務而導致的風險稱作？	信用風險 (Credit Risk)。
由巴塞爾銀行監理委員會 (BCBS) 制定，強調資本適足率與壓力測試的國際準則是？	巴塞爾協議 III (Basel III Accord)。
洗錢過程的三個主要階段依序為何？	處置 (Placement)、分層 (Layering)、整合 (Integration)。
在洗錢階段中，透過複雜的交易鏈隱藏資金來源的行為屬於哪一階段？	分層 (Layering)。
金融機構提交給監管機構以報告潛在非法行為的報告簡稱為何？	SARs (Suspicious Activity Reports)。
RegTech (監管科技) 在 AML 營運中的主要作用是什麼？	自動化合規報告、減少誤報並提升偵測準確性。
哪種機器學習模型適用於標記數據不足的情況，專門識別偏離正常行為的交易？	異常偵測模型 (Anomaly Detection Models)。
圖神經網路 (GNN) 在 AML 應用中的主要優勢為何？	能捕捉交易網路中的關聯與結構模式，識別隱藏的洗錢環路或共謀群體。
資料探勘中的「關聯規則探勘」(Association Rule Mining) 在 AML 中有何用途？	揭示可能暗示重複洗錢計畫或實體間共謀行為的頻繁交易模式。
在洗錢偵測中，集成學習 (Ensemble Learning) 的主要目的是什麼？	透過聚合多個模型的輸出，提升系統的穩定性、泛化能力並最小化誤報。
為什麼在評估 AML 模型時，「準確率」(Accuracy) 通常不是一個理想的指標？	因為洗錢交易極其稀少，存在嚴重的類別不平衡問題。
在處理類別不平衡的 AML 數據時，哪兩個指標比準確率更能反映偵測品質？	精準率 (Precision) 與召回率 (Recall)。
解釋人工智慧中的「黑箱問題」(Black-Box Issue) 對 AML 有何影響？	深度學習模型的決策缺乏透明度，導致合規人員難以向監管機構解釋或證明預測依據。
哪種技術允許金融機構在不交換敏感數據的情況下，協作訓練共享模型？	聯邦學習 (Federated Learning)。
可解釋人工智慧 (XAI) 方法（如 LIME 或 SHAP）的主要功能為何？	使模型決策變得可理解與可審計，以符合法規透明度要求。
