根據商業雜誌數據，獲取一個新客戶的成本大約是保留既有客戶的幾倍？	5 到 7 倍。
在銀行產業中，用戶轉換成本呈現什麼樣的特徵？	非常低。
銀行客戶流失預測模型的主要目標是識別哪兩類客戶族群？	高風險流失客戶與高忠誠客戶。
針對高流失風險的客戶，企業可以採取哪些挽留方案？	寄發關懷信件或提供更多信用卡優惠。
針對高忠誠客戶，企業可以採取哪些提升忠誠度的方案？	升級為 VVIP 或優先理財戶。
在流失預測專題中，資料集是否存在缺失值、重複值或極端值？	不存在，資料非常乾淨。
在流失預測模型中，哪兩個欄位因對訓練無意義而被排除？	Customer ID（客戶編號）與 Surname（姓氏）。
在 categorical（類別型）欄位中，'Geography' 包含哪三個國家？	法國、西班牙與德國。
在 'Tenure' 欄位中，數值為 0 代表什麼意思？	未滿一年的新客戶。
EDA 發現該銀行客戶年齡主要集中在什麼範圍？	30 到 40 歲。
EDA 發現該銀行的 'Balance'（餘額）分布有一個特別的現象，是什麼？	有許多餘額為零的客戶。
流失預測資料集中，流失與未流失的比例約為 1 比 4，這稱為什麼狀態？	資料不平衡（Data Imbalance）狀態。
該組選擇哪項指標作為流失預測模型的主要評估指標？	ROCAUC。
為什麼 ROCAUC 比準確率（Accuracy）更適合處理不平衡資料？	它能反映整體的排序能力，避免被高準確率誤導。
EDA 顯示哪一個國家的客戶流失率明顯偏高？	德國。
使用多少項產品的客戶，流失率表現出極高的異常值？	四項產品。
在特徵編碼方面，該專題最終選擇了哪種方式？	One-Hot Encoder（獨熱編碼）。
為什麼在特徵不多時選擇 One-Hot Encoder？	結構簡單直觀，且無維度爆炸問題。
特徵工程中，將年齡每 20 歲分為一組的行為稱為什麼？	數據分組（Data Binning）。
該小組比較的三種機器學習演算法分別為何？	XGBoost, LightGBM (LGBM), Random Forest。
與 Grid Search 相比，Bayesian Optimization (TPE) 的優點為何？	會利用歷史資訊，減少探索次數，提升搜索效率。
在超參數優化中，Grid Search 面臨的主要問題是什麼？	維度的詛咒（當參數多時組合數呈指數增長）。
小組定義的過擬合（Overfitting）標準為何？	訓練與驗證指標差異超過 $5\%$ 到 $10\%$。
實驗結果顯示，哪種演算法發生過擬合的機率最高？	XGBoost。
統計檢定顯示，哪兩種演算法的性能表現顯著優於 Random Forest？	XGBoost 與 LightGBM。
在介面實作中，為防止用戶輸入錯誤格式，類別欄位建議如何設計？	改為下拉式選單。
RFM 模型中的 'R' 代表什麼含義？	Recency（最近一次交易時間）。
RFM 模型中的 'F' 代表什麼含義？	Frequency（交易頻率）。
RFM 模型中的 'M' 代表什麼含義？	Monetary Value（交易金額/貨幣價值）。
大數據（Big Data）的 4V 模型包含哪些維度？	Volume (量), Variety (多樣性), Velocity (速度), Veracity (真實性/正確性)。
分群（Clustering）屬於哪種機器學習方法？	非監督式學習（Unsupervised Learning）。
DBSCAN 演算法相對於 K-means 的主要優點為何？	對資料形狀不敏感，且能偵測不規則形狀與雜訊。
DBSCAN 演算法主要基於哪兩個參數進行分群？	半徑 ($EPS$) 與最少點數 ($MinPts$)。
Map-Reduce 框架的設計核心思想是什麼？	分而治之（Split and Overcome）。
在 RFM 分析中，若 R 數值較低（$R \downarrow$）代表什麼？	代表客戶最近剛進行過交易，對公司是優選狀態。
在客戶價值金字塔中，具有 $R \downarrow F \uparrow M \uparrow$ 特徵的客戶通常被稱為什麼？	忠誠客戶（Loyal Customer）。
若客戶特徵為 $R \uparrow F \downarrow M \downarrow$，這類客戶通常被視為？	流失客戶（Lost Customer）。
DBSCAN 中的 'Noise points' 是指什麼？	低密度區域中的點，不屬於任何群集。
在使用 RFM 資料前，由於各指標單位不同，必須進行什麼處理？	標準化或正規化（Normalization）。
寫出 Min-Max 正規化的公式。	$x' = \frac{x - x_{min}}{x_{max} - x_{min}}$。
在 DBSCAN 論文實驗中，識別出的第一群集（$R \downarrow F \uparrow M \uparrow$）代表哪類客戶？	特惠/特殊忠誠客戶，如大股東或投資公司業主。
CRISP-DM 模型包含哪六個階段？	業務理解、資料理解、資料準備、建模、模型評估、部署。
Calinski-Harabasz (CH) 指標的數值越大代表什麼？	分群效果越好（群內凝聚力強且群間分離度高）。
當資料存在缺失值時，若不使用平均值，論文建議使用什麼統計值填補？	中位數（Median）。
在信用卡預測模型中，訓練集與測試集的常見分割比例是多少？	$80\%$ 為訓練集，$20\%$ 為測試集。
什麼是 'Waterfall mechanism'（瀑布機制）？	當數位歐元錢包餘額超過限額時，自動將多餘資金轉回連結帳戶。
什麼是 'Reverse-waterfall logic'（反向瀑布邏輯）？	當交易金額超過錢包餘額時，自動從帳戶補足資金至錢包。
DESP 是指什麼縮寫？	Digital Euro Service Platform（數位歐元服務平台）。
數位歐元錢包預計對零售用戶設定的持有上限大約是多少？	3,000 歐元。
數位歐元的 'Offline functionality'（線下功能）解決了什麼問題？	讓用戶在沒有即時網路連接的情況下也能進行交易。
SEPI 系統的主要功能為何？	提供安全令牌服務，取代敏感支付資訊以確保資安。
數位歐元引入後，銀行面臨的主要結構性風險是什麼？	流動性壓力（資金從商業銀行存款轉向央行貨幣）。
在特徵工程中，創建 'Senior' 標記是為了反應什麼數據關係？	高齡客戶的特定行為或分佈情況。
在 Random Forest 演算法中，超參數優化是否能顯著提升該專題的性能？	統計檢定顯示無顯著提升。
One-Hot Encoding 會產生什麼潛在問題（雖然在該專題中未發生）？	維度爆炸（當類別數量極多時）。
為何在流失預測中要將資料分為數值型（Numerical）與類別型（Categorical）？	因為不同類型的資料需要不同的前處理與編碼方式。
在統計檢定中，若 $p$-value 小於 $0.05$ 代表什麼？	拒絕虛無假設，代表差異具備顯著性。
在流失預測案例中，女性與男性的流失率誰較高？	女性。
活躍用戶（Active Member）與非活躍用戶的流失率關係為何？	活躍用戶流失率顯著較低。
Bayesian Optimization 中的 'TPE' 是指什麼框架？	Tree-structured Parzen Estimator。
在進行特徵工程後，統計檢定顯示對模型性能有顯著影響嗎？	沒有顯著差異，顯示特徵工程仍有優化空間。
銀行為什麼需要實施 24/7/365 的維運能力來支持數位歐元？	因為它是即時支付工具，需滿足法規對可用性的要求。
數位歐元與 SEPA Instant 的共同技術挑戰是什麼？	舊有支付架構難以支持即時的 API 請求與響應處理。
在個人信用分群中，什麼情況會導致 Account Officer 處理錯誤？	缺乏決策支持系統，無法及時掌握潛在違約客戶。
在 K-means 研究中，CH 指標顯示的最佳分群數量是多少？	2 群，但為了實務需求通常選擇更高（如 4 群）。
在個人信用分群中，'Cluster 2' 被定義為高優先級是因為？	該群客戶活動度、餘額與交易頻率皆極低，違約風險最高。
Apache Hive 在大數據架構中的作用是什麼？	作為數據倉庫，用於查詢與分析分佈式環境中的海量數據。
Apache Hadoop 的核心特性之一為何？	大量資料集的分割與平行處理。
DBSCAN 的 $Eps$ 參數定義了什麼？	鄰域半徑，用於判斷點與點之間是否足夠接近以形成密度。
在 RFM 分群中，哪一類客戶是銀行最需優先保留的？	R 數值小、F 與 M 數值大的忠誠客戶。
數位歐元的引入預計會增加銀行對哪種市場資金的依賴？	批發市場（Wholesale markets）。
對於數位歐元的 AML（反洗錢）檢查，其要求為何？	需在交易流中即時完成檢查，而非事後批次處理。
CRM 系統在銀行中的主要作用是什麼？	改善客戶關係、提升交叉銷售（Cross-selling）效率。
在個人信用數據前處理中，為什麼要刪除空值比例大於 $70\%$ 的變數？	因為這些變數無法提供足夠的資訊進行有效分群。
何謂 'Binary Question'？	僅能回答 是/否 或 對/錯 的問題，在學習中應盡量避免。
在貝氏優化中，'Informer search' 的核心概念為何？	利用已有的搜索歷史來引導下一步的參數挑選。
專題中提到的 'Gradio' 平台用於實現什麼功能？	部署模型的使用者介面。
在特徵工程中，'Plus' 特徵代表什麼意義？	客戶平均每年購買的產品數量。
EDA 中提到，哪個因素會使客戶流失率變得極高（接近 $100\%$）？	同時使用四項銀行產品。
數位歐元與現有商業銀行存款的主要區別為何？	前者是央行貨幣（Central Bank Money），後者是商業銀行貨幣。
