黃金圈法則 (Golden Circle) 的核心溝通順序為何？	由內而外分別是 Why（為什麼）、How（如何）、What（什麼）。
在圖表溝通應用中，黃金圈法則的「Why」是指什麼？	釐清為什麼要看這張圖表，以及它想解決什麼核心問題。
若圖表溝通的「Why」沒釐清，會導致什麼後果？	圖表設計再漂亮也無法達成有效的溝通目的。
在圖表應用中，黃金圈法則的「How」對應到哪一個設計層面？	圖表的閱讀設計，即如何引導觀眾理解資訊。
在圖表應用中，黃金圈法則的「What」是指哪一個具體行動？	根據目的選用最適合的圖表類型。
比起一般的陳述方式，使用黃金圈法則溝通有哪些優點？	更容易讓人記住，也更容易建立觀眾的認同感。
資料視覺化中的「數據溝通技巧」屬於哪四大知識體系之一？	Story & Communication（故事與溝通）。
在商業圖表的註解文字設計中，「大標題」通常建議佔比多少？	12%。
在圖表設計中，為了確保資訊來源可靠，必須加上哪一項資訊？	Source line (資料來源行)。
圖表註解中的「Source line」在視覺版面上建議佔比多少？	5%。
圖表的核心內容區域（Field）在版面設計中建議佔比多少？	75%。
在圖表色彩設計中，為了突顯主要資訊，應如何調整顏色對比？	用亮色呈現主要資訊，其餘背景或次要資訊則用灰色。
「診斷性分析」主要著重於探討哪一個命題？	「為什麼會發生？ (Why did it happen)」。
診斷性分析中，利用「假說思考法」提出的三個分析框架為何？	假設、理由、檢驗方式。
在處理圓餅圖時，建議的起始角度為何？	從正上方 12 點鐘方向（90 度）起跳。
圓餅圖的資料項目排列順序應遵循什麼原則？	依數值由大到小順時針排列。
圓餅圖中的分類項目數量建議最好不要超過多少種？	五種。
若圓餅圖的分類超過五種，通常會將剩餘項合併為哪一個類別？	「其他」類別，並使用灰色呈現。
當分析的主題是「比較資料高低」時，黃金圈法則的「What」建議選用哪種圖表？	長條圖。
當分析的主題是呈現「時間趨勢」時，最適合的圖表類型為何？	折線圖。
若要呈現資料的「組成比例」，應優先選用哪種圖表？	圓餅圖。
「散佈圖 (Scatter Plot)」主要用於分析哪種資料關係？	雙變數之間的關聯性。
在 Tableau 中，若要修改工作表的背景顏色，應在設定格式中選擇哪一項？	設定陰影格式。
如何透過色彩應用在長條圖中建立「版型變化」？	根據數值大小（如 Sales）賦予渐層色彩。
在圖表溝通中，「視覺引導特徵」包括哪些要素？	長度、寬度、方向、大小、形狀、顏色對比等。
為什麼在折線圖中標註「7月資料僅統計至7/20」很重要？	為了避免誤導觀眾認為 7 月是完整月份，導致錯誤推論趨勢下滑。
在 Tableau 中，若資料集中沒有某項數據，該如何讓格線呈現完整而非留白？	在分析工具中勾選「顯示空列」或「顯示空欄」。
在進行假說思考時，如何檢驗「凌晨事故死亡率高」的假設？	比較該時段與其他時段的「平均每起事故死亡人數」與「有死亡事故占比」。
在描述性分析中，對於「不完整月份」的資料應注意什麼？	不能推論該全年度或全月份的整體趨勢。
黃金圈法則強調的溝通重點在於哪種轉變？	從「產品功能導向」轉向「價值與使命導向」。
在 Tableau 工作表設計中，修改「網格線」樣式的主要目的是什麼？	增加或減少視覺輔助線，以提升圖表的可讀性。
根據視覺型錄 (Visual Catalog) 概念，圓形面積通常用來代表什麼？	全球資訊中各屬性的數量佔比。
在圖表標註中，「小標題」的功能為何？	提供額外的補充資訊或具體數據描述，佔版面約 8%。
「WTF Visualizations」網站的主要內容為何？	收集並展示那些不符合邏輯或讓人產生誤解的失敗視覺化作品。
在黃金圈法則應用下，製作圖表的第一步是什麼？	確定為什麼要製作這張圖表（釐清目標）。
「假說思考法」的核心在於不斷進行哪種過程？	反覆進行疊代與驗證假設。
在水平長條圖中，為了讓排名差異清楚，通常會對座標軸做什麼處理？	依數據由高到低排序。
若要在圖表中展現平日與週末的事故差異，直條圖的設計重點為何？	固定星期順序（一至日），並透過視覺處理突顯週六、日。
在 Tableau 實作中，若要將特定類別加上公司 Logo，是為了達成什麼目的？	輔助辨識，增加視覺上的品牌識別與專業度。
在數據分析流程中，「診斷性分析」介於哪兩者之間？	描述性分析（發生什麼事）與預測性分析（將會發生什麼）。
黃金圈溝通中，提到「任務追蹤、檔案共享」屬於哪一個層級？	What（功能層次）。
黃金圈溝通中，提到「直覺、透明、容易上手」屬於哪一個層級？	How（流程與特質）。
在圖表視覺特徵中，將特定物體「圈起來」會產生什麼效果？	使觀眾更容易將目光鎖定在該特定資訊點上。
圖表標註中的「2013: New policy introduced」屬於哪種溝通元素？	Annotation (註解)，用於解釋數據變化的原因。
為什麼在進行圖表設計前，建議將清洗好的資料存成 .csv 格式？	方便後續導入 Tableau 等視覺化工具進行繪圖。
在 Tableau 中，若要修改「欄」或「列」的字體顏色，應在那裡操作？	設定字體格式側邊欄位。
在數據分析的「描述性分析」階段，最主要的任務是什麼？	歸納並描述目前資料呈現的現象與數字事實。
黃金圈法則中，「We believe...」通常用於表達哪一個層級？	Why（信念與價值觀）。
在 Tableau 中，若圓形標記無法修改邊界，通常是因為什麼原因？	標記類型尚未正確切換為「圓」。
診斷性分析中，如何針對「2月受傷人數最高」進行追問？	運用假說思考法找出可能的原因，並列出檢驗假設的方式。
在視覺化中，「灰色」除了代表次要資訊外，通常也暗示什麼？	背景、基準線或不具顯著意義的參考數據。
長條圖設計重點中，為什麼 X 軸通常建議從 0 開始？	避免截斷座標軸導致比例誤導，確保比較數據的客觀性。
在圖表溝通中，「層次結構」的建立通常依賴什麼？	標題、小標題與註解的字體大小及顏色差異。
黃金圈法則之所以有效，是因為它連結了人類大腦中負責什麼的部分？	負責決策與情感，而不僅僅是邏輯與理性（What）。
在 Tableau 實作中，「SUM(Sales)」被拖曳到色彩標記後，圖表會如何變化？	長條圖的顏色會依銷售額總和的大小呈現深淺或色調差異。
數據故事化 (Data Storytelling) 的核心目標為何？	透過數據解釋「為什麼」這件事對聽眾有意義。
