根據 Sundar Pichai 的定義，「AI 代理」是指將先進 AI 模型的智慧功能與各種_____結合，並能代為採取行動的系統。	工具
AI 代理與傳統 AI 的主要區別在於，它不再侷限於回答問題，還能理解目標、制定計畫並在人類監督下_____。	跨應用程式採取行動
2026 年人機介面的行為模式轉變，是指從「指令式運算」轉向哪一種運算模式？	意圖式運算 (Intent-based computing)
在「意圖式運算」模式下，電腦是運用哪兩項技術來決定如何達成員工說明的期望成果？	大型語言模型和 AI 代理
根據 Google Cloud 2025 年報告，有百分之多少的高階主管表示公司已在正式環境導入 AI 代理？	$52\%$
企業採用 AI 代理的前四大應用領域中，佔比最高 (49%) 的是哪一項？	顧客服務
電信商 TELUS 導入 AI 後，超過 57,000 名團隊成員平均每次互動可節省多少時間？	超過 40 分鐘
在全新的整合工作模式下，員工的角色將轉型為何種身份？	AI 代理的監督人員 (或管理人員)
AI 代理時代中，員工的新職責包含委派事務、設定目標、檢查品質以及哪一項關鍵判斷任務？	研擬策略
所謂「建立 AI 基準」(Grounding)，是指以哪一種資訊做為 AI 模型的回覆依據？	一組可驗證的具體事實資訊 (基準真相/內部資料)
日本 Google Cloud 主管 Fuchino 認為，透過工具實現「技術民主化」能讓哪一類員工自行構建代理？	知識型員工
2026 年行銷經理調度的「資料代理」，其主要功能是篩選資料並找出哪種模式？	可做為行動依據的市場趨勢模式
2026 年行銷經理調度的「分析代理」，會透過監控市場與競爭對手，在何時提供洞察報告？	每天早上
行銷經理系統中的「內容代理」，主要負責根據當週主題生成網誌和社群貼文的_____。	初稿
行銷經理系統中的「創意代理」，是依據行銷策略與創意指南來生成何種內容？	適合搭配社群貼文的圖像和影片
行銷經理系統中的「回報代理」，其核心功能是擷取並分析哪一類資料？	每週所有的廣告活動資料
紙漿企業 Suzano 透過 AI 代理將自然語言轉譯為 SQL 碼，讓 5 萬名員工查詢資料的時間減少了百分之多少？	$95\%$
Google Cloud 的 Albert Lai 強調，AI 代理就像是強大的_____，可輔助由人類主導的工作流程。	助理
所謂「數位生產線」是指能自動調度管理多個代理，並全方位執行業務程序的_____工作流程。	人類引導的多步驟
早期採用代理式 AI 的公司中，有百分之多少已在至少一項生成式 AI 用途上獲得正向投資效益？	$88\%$
哪一項開放通訊協定是打造「數位生產線」，讓不同開發人員的代理順暢整合的幕後推手？	Agent2Agent (A2A)
Model Context Protocol (MCP) 的主要作用是在 AI 應用程式間建立何種連線？	標準化的雙向連線 (用於連結資料來源與工具)
哪家公司與 Google Cloud 合作使用 A2A 通訊協定，為代理式企業奠定互通基礎？	Salesforce
動物健康公司 Elanco 使用 AI 代理處理 2,500 份非結構化文件，避免了高達多少金額的效率損失？	$130$ 萬美元
Google Agent Payments Protocol (AP2) 框架解決了支付系統中哪一個實體自主交易的問題？	非真人實體 (AI 代理)
在代理式購物體驗中，代理能根據人類事先給予的_____ (如價格上限)，自主監控並執行交易。	核准條件 (或指示)
金融服務業預計在 2026 年大規模部署哪一種代理系統，用以監控法規異動並建立稽核鏈？	多步驟的法規遵循代理系統
傳統客服自動化主要依賴預先設定的聊天機器人，而 2026 年則轉向哪種更具備背景理解能力的代理？	專員式代理 (Concierge-like agents)
「專員式代理」成功的關鍵在於企業可分享消費者的哪類背景資訊以建立回覆基準？	CRM 系統中的購買記錄或物流追蹤資料
Home Depot 打造的 AI 代理名稱為何？其主要提供居家修繕的專業指引。	Magic Apron
在製造業中，代理系統如何協助解決「第二班成效不如第一班」的問題？	檢查機器條件並提供個人化建議 (如訓練或最佳設定點)
與被動等待顧客抱怨不同，「專員式代理」會採取何種行動來解決物流故障？	主動監控觸發事件並即時解決 (如自動發放抵免額與改約配送時間)
跨國製造商 Danfoss 導入 AI 代理後，顧客等待回覆的平均時間從 42 小時縮短至何種程度？	近乎即時
醫療照護領域在 2026 年的遠大願景，是轉型為哪一種醫護系統？	預測式學習醫護系統
在現代資安營運中心 (SOC) 中，有百分之多少的分析師因警示量過多而擔憂錯失威脅？	$82\%$
AI 代理在資安防護上的核心價值，是將安全防護從單純的警示轉變為_____。	實際行動
Specular 平台建構的資安 AI 代理，主要負責自動管理攻擊面及執行哪項測試？	滲透測試
「代理式 SOC」的循環程序包含偵測、警示、建議、提報，以及哪一個核心分析環節？	分類與調查 (含威脅研究、惡意軟體分析等)
為了讓多個資安代理協作，它們必須透過 A2A 和 MCP 等技術共享相同的_____。	企業背景資訊 (或資安資料來源)
2026 年形塑企業的 5 大 AI 趨勢包含：每位員工都能用的代理、各種工作流程都能採用的代理、為顧客打造專屬代理、在資安防護層面引進代理，以及哪一項？	大規模部署代理 (提升人才技能)
