根據恆遠數位行銷的建議，AI 寫 SQL 工作流的第一步是什麼？	問題澄清：將模糊的商務問題轉化為可量化的明確需求句。
在 AI 寫 SQL 的 SOP 中，第二步「Schema 餵食」應包含哪三項核心資訊？	DDL 語句、欄位中文說明、3 列樣本資料。
為什麼在提供樣本資料給 AI 時必須進行「脫敏」處理？	為了遵守個資法並防止客戶個人識別資訊（PII）外洩至第三方平台。
在 SQL 生成階段（Step 3），加入哪一個語句可以防止初次執行時造成資料庫過載？	LIMIT 100（或 LIMIT 1000）。
AI 寫 SQL 工作流中，建議使用何種權限的帳號來執行查詢？	唯讀帳號（Read-only account）。
在 2026 年，決定 AI 寫 SQL 準確率能否達到商務應用標準（約 70%）的關鍵是什麼？	整合 Schema、業務語義與 Metric 定義的語義層（Semantic Layer）。
對於完全不會寫程式的上班族，若想將 SQL 查詢結果製作成報表，哪種路徑的時間成本最低？	Google Sheets + AI 公式（約 5 分鐘）。
Kevin Voyage 提出的 AI 提示詞 6 個核心原則中，「明確具體」是指將形容詞替換為什麼？	具體規格（如字數、語氣、目標對象）。
提示詞原則：提供範例（Few-shot）的主要目的是什麼？	讓模型模仿特定的風格、格式或判斷標準。
Kevin Voyage 建議的萬用提示結構包含哪 6 個元素？	角色、任務、脈絡、格式、限制、範例。
為了降低 AI 的「幻覺」現象，在引用數據或法規時應對模型下達什麼指令？	要求模型僅根據提供的參考資料回答，資料中沒有的請說不知道。
提示詞工程中，所謂的「迭代修正」是什麼意思？	將 AI 的第一版輸出視為草稿，透過具體指令逐步調整收斂。
Finance PhD 認為財金專業人士在 AI 時代的核心任務將從資料處理轉向什麼？	定義高品質的問題與檢驗假設的合理性。
思維鏈推導（Chain of Thought, CoT）的核心定義為何？	引導 AI 將複雜問題拆解為清晰的線性邏輯步驟。
在處理龐大的財務文件（如 10-K 年報）時，為了避免 AI 注意力稀釋，應採用什麼技術？	區塊化處理（Chunking）。
區塊化處理（Chunking）分析年報時，通常會拆分成哪些邏輯模組？	商業模式、財務報表、風險因子、管理層討論（MD&A）。
顯式邏輯推理（Explicit Reasoning）要求 AI 透明化呈現哪些內容？	輸入參數、模型公式、中介推導步驟與敏感度矩陣。
角色代理提示（Agent Prompting）應為 AI 設定哪五個維度？	專屬角色、明確任務、背景脈絡、工具框架、邊界限制。
虛擬團隊協作（Team Prompting）如何幫助消除認知偏誤？	模擬多方專家委員會（如多空辯論）進行意見碰撞與互審。
元認知評估（Meta-Cognition）是指引導 AI 建立何種機制？	自我評估與批判機制，主動檢查潛在盲點與脆弱假設。
蘇格拉底式提問（Socratic Prompting）如何改變 AI 的互動模式？	將 AI 從「被動答題者」轉變為向分析師主動提問的「思維教練」。
事實交叉驗證（Fact-Checking）要求 AI 區分哪兩種內容？	事實（Fact）與推測（Claim）。
迭代式深探（Iterative Inquiry）的四階段路徑為何？	發問、初步解析、聚焦追問、策略深化。
iT 邦幫忙提出的結構化 Prompt 3 大核心要素為何？	Goal（目標）、Input（輸入）、Output（輸出）。
在風控場景中，為什麼必須先對企業數據進行「去識別化」？	為了確保金融資安隱私，防止敏感個資外洩。
System Prompt 在結構化提示詞中的作用是什麼？	指派專家角色，約束模型遵循特定的學術或專業邏輯（如巴塞爾協定）。
多智能體架構（Multi-Agent Architecture）中，「策略師（Strategist）」的主要任務是什麼？	根據 RAG 提供的語境，生成 2-3 個決策備選方案。
多智能體架構中，「評論家（Critic）」的主要職責是什麼？	尋找漏洞、驗證數據一致性並審查是否符合政策規範。
多智能體架構中，「主持人（Moderator）」的角色目標為何？	彙整共識、執行最終健全性檢查並記錄決策日誌。
什麼是自洽性（Self-consistency）解碼策略？	模型生成多條推理路徑，並選擇大多數路徑支持的答案。
檢索增強生成（RAG）如何減少 AI 的事實性錯誤？	將模型連結至外部可靠知識庫（如公司內部文檔），要求依據來源回答。
在財務分析多智能體系統中，輸出格式通常建議包含哪五個區塊？	證據、規則/政策、數據、不確定性、風險。
CFI 建議在使用 CoT 分析利潤表時，第一步應該做什麼？	定義業務背景（Business Context），如收入模型與市場風險。
為什麼在 AI 財務分析中需要「合成敘事（Synthesize into a Narrative）」？	將三大財務報表的數據轉化為連貫的分析故事，包含優勢、風險與預測。
Excel 樞紐分析表中，「列」區域的作用為何？	將拖入的欄位資料作為報表的橫向標籤進行分組。
Excel 樞紐分析表中，「值」區域的主要功能是什麼？	對資料進行計算匯總（如加總、平均值、計數）。
在 Excel 樞紐分析中，如何將散亂的「年齡」資料轉化為「年齡層」？	使用「群組（Group）」功能並設定間距。
為什麼 AI 寫 SQL 的 SOP 強調要讓 AI「解釋邏輯」？	讓不具程式背景的商務人員能判斷 AI 的計算過程是否符合業務定義。
提示詞優化（Optimization）清單中的「明確具體」是指什麼？	指定具體範圍、避免模糊詞彙。
在 AI 治理中，對於商業機密數據應優先選擇哪種 AI 工具通路？	企業版通道（如 ChatGPT Enterprise）或自架 LLM。
Cloze Deletion: 在 2026 年，最強模型的 Text-to-SQL 執行準確率已推到 _____ 之間。	73-76%
Cloze Deletion: 透過 _____ 帳號操作資料庫，可避免不小心執行 UPDATE 或 DELETE 的風險。	唯讀 (Read-only)
Cloze Deletion: 在 Excel 樞紐分析中，_____ 區域會成為報表頂端的過濾依據。	篩選 (Filter)
Cloze Deletion: 提示詞原則中，允許 _____ 可以讓 AI 在回答複雜問題前先進行推理。	分步思考 (Step-by-step thinking)
Cloze Deletion: Finance PhD 指出，_____ 技術能解決大模型在閱讀長文時的注意力稀釋問題。	區塊化處理 (Chunking)
Cloze Deletion: 在多智能體架構中，評論家使用的 _____ 方案是指先草擬答案，再透過控制問題自行核對。	驗證鏈 (Chain-of-Verification / CoVe)
Cloze Deletion: 事實交叉驗證機制中，AI 生成關鍵陳述後應標註 _____ 以建構風控防線。	信心水準 (Confidence Level)
Cloze Deletion: 結構化提示詞的 Input 應包含數據欄位與 _____ ，以防止 AI 隨意延伸。	邊界條件 (Boundary conditions)
Term: Few-shot Prompting	在提示詞中提供 1 到 3 組「輸入對應輸出」的範例，引導模型模仿模式。
Term: Semantic Layer (語義層)	在資料庫與用戶間定義商務指標與欄位關係的層級，幫助 AI 正確對應 SQL。
Term: Hallucination (幻覺)	AI 模型產生看似合理但事實錯誤或虛構內容的現象。
Term: Chain of Thought (CoT)	一種讓 LLM 在輸出最終結果前，先展示其逐步推理過程的提示技術。
Term: Multi-Agent System (多智能體系統)	由多個具有特定角色的 AI 模型實例協作，以解決單一模型難以處理的複雜任務。
Concept: 最小權限原則 (Principle of Least Privilege)	在 AI 治理中，僅賦予 AI 執行任務所需的最少權限（如唯讀），以降低安全風險。
Formula: 不確定性區間在審查中的表現形式為何？	通常以 $P5$ (悲觀)、$P50$ (中性)、$P95$ (樂觀) 的區間值呈現。
Process: AI 寫 SQL 驗證階段（Step 4）的操作順序？	1. 少量執行 (LIMIT 100) -> 2. 觀察樣本 -> 3. 貼回 AI 進行異常判斷。
Process: 建立 Excel 樞紐分析表的 3 個主要步驟？	1. 設定資料範圍 -> 2. 選取欄位配置版面 -> 3. 針對數值資料分組。
根據 2026 報告，使用 AI 的非工程人員產出可用查詢的時間從 47 分鐘降至幾分鐘？	6 分鐘。
在商務問題澄清中，若提到「上個月」，AI 需要確認哪些假設？	是滾動 30 天還是上個自然月？起訖日與時區轉換？
什麼是 Text-to-SQL 工具中最容易被忽略但最簡單的做法？	貼上表的 CREATE TABLE 語句 (DDL) + 欄位中文說明。
在 SQL 提示詞中，要求 AI「列出 edge case」的作用為何？	作為防呆機制，攔截 NULL 值未處理或重複 JOIN 等潛在邏輯錯誤。
如果公司沒有資料字典，上班族該如何開始 AI SQL 協作？	挑選 2-3 張常用表，自行整理欄位意義與樣本值建立小字典。
在 Finance PhD 的架構中，哪種技術可以幫助分析師進行「壓力測試」？	蘇格拉底式提問 (Socratic Prompting)。
提示詞自我優化（Prompt Optimization）的四步閉環流程為何？	起草 (Draft) -> 測試 (Test) -> 評估 (Evaluate) -> 修正 (Refine)。
為什麼 AI 提示詞「一次到位」通常是錯誤的期待？	對話式 AI 的正確用法是迭代，應透過來回對話逐步收斂結果。
在 multi-agent 系統中，評論家發起「Chain-of-Verification」的流程為何？	1. 生成陳述 -> 2. 比對資料來源 -> 3. 驗證真實性 -> 4. 產出結論。
針對製造業主管進行 AI 導入培訓，提示詞中應加入什麼格式限制以求淺顯易懂？	不用專業術語，必要時附上白話比喻。
為什麼在財報分析中，「數字本身毫無意義」？	因為分析師需要的是可審計、可重現的邏輯鏈條，而非黑盒子出的數字。
在中、小企業信用評估中，若 AI 發現數據不足，在結構化輸出中應標註為什麼？	待補件審查項目。
Excel 樞紐分析中，「性別」與「花費」同時放入「列」會產生什麼效果？	Excel 會進行分組，例如顯示同性別下不同花費金額的統計結果。
什麼是「Meta-Cognition」在 AI 提示工程中的實踐？	要求 AI 自我反思「遺漏了什麼關鍵因素」或「哪些假設最薄弱」。
在 10-K 年報分析中，Chunking 的第一模組「商業模式」主要提取什麼？	營收來源與產業護城河。
為什麼 AI 需要獲取資產負債表（Balance Sheet）的脈絡？	為了評估公司的長期財務健康與資產、負債、股東權益間的關係。
