根據巴塞爾協議 III，信用機構衡量違約風險時最重要的指標是什麼？	違約機率（Probability of Default, PD）。
在信用評分中，「應用數據」（Application Data）主要包含哪些特徵？	企業的財務、財產以及自然人的社會人口統計特徵。
相對於應用數據，「行為數據」（Behavioural Data）通常在何種情況下可用？	當客戶與銀行已有現存或近期的債務關係（如貸款、透支）時。
巴塞爾協議 III 規定違約（Default）的判斷標準之一是逾期超過多少天？	90 天。
除了逾期天數外，巴塞爾協議定義違約的另一個判斷標準是什麼？	機構認為債務人不太可能（Unlikely to pay）全額償還其信用義務。
在巴塞爾協議中，哪種方法允許銀行使用自有的內部 PD 模型來評估風險暴露？	內部評級法（Internal Ratings Based Approach, IRB）。
如果不符合 IRB 要求，信用機構必須使用哪種由監管規定的風險權重計算法？	標準法（Standardised Approach, STA）。
McKinsey (2024) 估計，在信用風險中使用進階分析和 AI 可將信貸損失降低多少？	相對於傳統評分卡，可降低 $10\%$ 至 $25\%$。
根據 Beehive Strategy 報告，2026 年銀行業 AI 信用建模的核心挑戰不再是模型性能，而是什麼？	模型治理（Model Governance），包括驗證排隊、文件債務和可解釋性差距。
研究顯示，梯度提升決策樹（GBDT）在哪些客戶群體中的表現優於邏輯斯評分卡？	信用記錄薄弱（Thin-file）的客戶、零工經濟借款人和缺乏審計財務數據的小企業。
術語：縮尾處理（Winsorisation）	定義：將變量分佈兩端的極端值替換為特定的百分位數（如 $1\%$ 或 $99\%$），以提高回歸穩定性。
證據權重（Weight of Evidence, WoE）的計算公式是什麼？	$WoE_i = \ln(\frac{\% \text{good}}{\% \text{bad}})$
在 WoE 轉換中，若某類別的 $WoE$ 值較大，代表其隱含的風險是高還是低？	較低（因為 $WoE$ 與「好客戶」佔比成正比）。
資訊值（Information Value, IV）的主要用途是什麼？	評估獨立變量的預測能力，輔助模型變量的篩選。
計算資訊值（IV）的公式為何？	$IV = \sum [(\% \text{good} - \% \text{bad}) \times WoE_i]$
根據 Siddiqi (2006)，IV 值在什麼範圍時代表該變量具有「中等」預測能力？	$0.1$ 至 $0.3$。
若一個變量的 IV 值大於多少，會被視為具有「極強」的預測能力？	$0.5$。
在信用評分模型中，基尼係數（Gini Coefficient）衡量的是什麼？	模型的區分能力（Discriminatory Power），即區分「好」與「壞」客戶的能力。
基尼係數（Gini）與累積準確性曲線（CAP 曲線）的關係公式為何？	$Gini = \frac{B}{A + B}$，其中 $B$ 為模型曲線與隨機曲線間的面積。
若模型的基尼係數落在 $0.4$ 到 $0.6$ 之間，其區分能力被評價為何？	可接受（Acceptable）。
機器學習模型在生產環境中常見的「Gini 壓縮」現象是指什麼？	模型在留存樣本上的表現（如 $+0.07$）進入實際運作後，優勢往往會縮減（如僅剩 $+0.03$）。
什麼是「反事實解釋」（Counterfactual Explanations）？	一種解釋模型決策的方法，說明若申請人的某項指標（如利用率）達到特定門檻，申請即可獲批。
歐盟 AI 法案（EU AI Act）將自然人的信用評估歸類為哪一級風險？	高風險（High-risk）。
新加坡金融管理局（MAS）編撰的 FEAT 原則代表哪四個核心概念？	公平（Fairness）、倫理（Ethics）、問責（Accountability）和透明（Transparency）。
替代數據（Alternative Data）在信用建模中的主要優勢是什麼？	能有效覆蓋銀行數據薄弱的群體，將薄弱記錄細分市場的違約率降低 $10\%$ 至 $30\%$。
香港金管局（HKMA）推出的哪項基礎設施有助於減少 SME 貸款中的信息不對稱？	商業數據交換（Commercial Data Interchange, CDI）。
在偏差測試中，衡量不同群體獲批率差異的常用量化標準是什麼？	不利影響比例（Adverse Impact Ratio），通常以 $80\%$ 規則作為警戒門檻。
什麼是「代理歧視」（Proxy Discrimination）？	模型使用的特徵（如郵政編碼、設備類型）間接編碼了受保護的人口統計屬性（如種族、性別）。
聯準會與 OCC 發布的 SR 11-7 指南核心要求包括哪些？	概念健全性、獨立驗證、持續監控和有效挑戰。
模型風險管理中的「三道防線」分別指什麼？	第一線：開發與監控；第二線：獨立驗證與標準制定；第三線：內部審計。
何謂「人口統計漂移」（Population Drift）？	申請人群體的組成發生變化，通常使用人口穩定性指數（PSI）來監控。
PSI（人口穩定性指數）大於多少通常需要採取行動（Action）？	$0.25$。
什麼是「概念漂移」（Concept Drift）？	特徵與違約之間的底層關係發生變化（如經濟週期轉變導致支付行為改變）。
「操作漂移」（Operational Drift）通常是由什麼引起的？	上游數據管道的變化，如字段定義修改、API 失效或缺失值填充邏輯變動。
特徵存儲（Feature Store）的主要技術價值在於確保什麼？	訓練與推理服務的一致性（Training-serving consistency）。
在機器學習驗證中，常見的「數據洩漏」缺陷通常是指什麼？	計算特徵時使用了決策日期之後的未來數據，導致回測表現虛高。
對比小企業（S）與大中型企業（ML）的建模，為什麼需要進行樣本細分？	兩者的商業模式、融資條件、市場表現及風險特徵存在顯著差異。
